trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1,209112000,0.9383,0.9619,0.8635,0.96,0.9668,0.6236
2,209112000,0.8384,0.083,0.8989,0.4481,0.6115,0.0581
3,209112000,0.1123,0.0916,0.1162,0.2896,0.1409,0.0668
4,209429000,0.8272,0.9267,0.8052,0.8306,0.977,0.0579
5,209429000,0.9535,0.9598,0.8756,0.9641,0.9655,0.0725
6,229054000,0.8379,0.8093,0.9375,0.0116,0.5795,0.9126
7,229054000,0.2167,0.1085,0.1661,0.2577,0.1391,0.1089
8,229054000,0.8669,0.8581,0.8542,0.882,0.9084,0.0466
9,229054000,0.9555,0.9614,0.8811,0.9651,0.9685,0.0825
10,232010350,0.092,0.1038,0.0899,0.1714,0.1302,0.1092
11,232010350,0.1537,0.2014,0.1315,0.2311,0.4056,0.0866
12,232010350,0.2231,0.0994,0.1636,0.2992,0.1256,0.1055
13,232010350,0.1908,0.0918,0.1639,0.0939,0.1274,0.0916
14,232010350,0.201,0.096,0.1776,0.0592,0.1315,0.0971
15,232010350,0.8948,0.5954,0.9241,0.7519,0.6399,0.0848
16,232010350,0.9309,0.9637,0.8485,0.9519,0.9655,0.0202
17,240681000,0.7655,0.0858,0.7545,0.7676,0.1371,0.0516
18,240681000,0.9078,0.4422,0.892,0.5828,0.6501,0.0639
19,240681000,0.2172,0.101,0.1666,0.2522,0.1338,0.0992
20,240681000,0.9093,0.1858,0.9488,0.1547,0.6023,0.3131
21,240681000,0.9055,0.0691,0.9378,0.3646,0.6003,0.0764
22,240681000,0.8587,0.8255,0.8232,0.8719,0.9263,0.0935
23,240681000,0.9568,0.9802,0.8871,0.9653,0.9749,0.1065
24,248703000,0.9083,0.9757,0.8331,0.9466,0.9882,0.5602
25,248703000,0.7218,0.7662,0.8717,0.2835,0.7946,0.1223
26,248703000,0.8392,0.9596,0.8435,0.6699,0.9568,0.1207
27,248974000,0.94,0.9736,0.8583,0.959,0.968,0.933
28,248974000,0.9281,0.0673,0.9496,0.1797,0.5757,0.0568
29,248974000,0.936,0.1529,0.9627,0.039,0.0946,0.2165
30,248974000,0.8694,0.0261,0.8989,0.6514,0.0212,0.0285
31,248974000,0.9276,0.9648,0.8537,0.9468,0.965,0.0346
32,255617000,0.9461,0.8082,0.9641,0.4276,0.6363,0.8613
33,255801370,0.9215,0.7075,0.9351,0.5382,0.7632,0.0421
34,255803680,0.3176,0.856,0.8696,0.0428,0.7685,0.816
35,255803680,0.9339,0.9716,0.8553,0.957,0.9703,0.0437
36,255803680,0.9388,0.964,0.8687,0.9585,0.9691,0.5592
37,255803680,0.8984,0.0616,0.9408,0.0681,0.2581,0.0534
38,255803680,0.8819,0.863,0.8665,0.7782,0.9066,0.0144
39,255803680,0.9489,0.9559,0.8726,0.9615,0.9657,0.0728
40,255805550,0.8862,0.9387,0.8671,0.7425,0.8941,0.8738
41,255806490,0.905,0.976,0.8361,0.9382,0.9893,0.5982
42,255806497,0.8351,0.8714,0.8142,0.7808,0.9468,0.061
43,255806497,0.9362,0.9671,0.8926,0.9395,0.967,0.0414
44,255806497,0.9588,0.9661,0.892,0.9301,0.9668,0.0662
45,255806497,0.9985,0.9637,0.7635,0.9415,0.9647,0.0715
46,255806497,0.9881,0.9583,0.9446,0.9296,0.9632,0.0398
47,255806497,0.983,0.9614,0.8153,0.9311,0.9647,0.0408
48,255806497,0.9924,0.9142,0.9394,0.9453,0.9611,0.0565
49,255806497,1.0,0.8902,0.963,0.9433,0.9509,0.039
50,257407000,0.8316,0.043,0.9356,0.122,0.0494,0.0592
51,257407000,0.8849,0.1761,0.9548,0.3253,0.4335,0.0238
52,275430000,0.9184,0.9716,0.8504,0.9466,0.9701,0.901
53,303221000,0.2274,0.1025,0.1748,0.2595,0.1355,0.1047
54,303221000,0.232,0.0715,0.174,0.2843,0.1453,0.0432
55,303221000,0.2248,0.2713,0.1768,0.2314,0.1353,0.8016
56,303221000,0.2309,0.3809,0.1757,0.2792,0.135,0.8249
57,303221000,0.2693,0.0978,0.1765,0.3884,0.1348,0.0895
58,303221000,0.2698,0.1002,0.1792,0.3808,0.1302,0.0979
59,303221000,0.1997,0.1064,0.1688,0.1106,0.1394,0.1079
60,303221000,0.2266,0.2518,0.1666,0.2846,0.1519,0.7704
61,303221000,0.2774,0.089,0.1721,0.4053,0.1465,0.0623
62,303221000,0.1972,0.7991,0.1672,0.0942,0.1381,0.8932
63,303221000,0.2111,0.0767,0.1644,0.2319,0.1384,0.0581
64,303221000,0.2282,0.7221,0.1661,0.3053,0.1422,0.8702
65,303221000,0.2261,0.1664,0.1792,0.2372,0.2345,0.0887
66,303221000,0.2282,0.0858,0.1707,0.2797,0.1501,0.05
67,303295000,0.2129,0.1088,0.1737,0.1448,0.1486,0.1065
68,303295000,0.1784,0.0944,0.1628,0.039,0.1312,0.0921
69,303295000,0.2208,0.1067,0.1694,0.2506,0.1437,0.1055
70,303295000,0.1568,0.1318,0.1299,0.0671,0.2146,0.0469
71,303295000,0.1801,0.1842,0.1507,0.1142,0.2542,0.0539
72,303295000,0.2701,0.1012,0.1565,0.4813,0.1355,0.1039
73,303295000,0.2388,0.0861,0.1727,0.3296,0.1522,0.0497
74,303295000,0.2213,0.072,0.1762,0.222,0.1343,0.0406
75,303295000,0.2401,0.0352,0.8531,0.0213,0.056,0.0335
76,303295000,0.2114,0.0984,0.1727,0.1623,0.1325,0.0976
77,303295000,0.218,0.0895,0.1757,0.1911,0.1297,0.067
78,303295000,0.2215,0.0989,0.1672,0.2734,0.1481,0.0788
79,303295000,0.2038,0.0887,0.1748,0.0582,0.1286,0.0662
80,303295000,0.2233,0.0853,0.1633,0.2924,0.135,0.073
81,303304000,0.9154,0.6008,0.9386,0.2625,0.5499,0.7374
