trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1,116,0.8434,0.0632,0.223,0.9471,0.073,0.0524
2,116,0.0869,0.1124,0.1383,0.1081,0.1077,0.1004
3,116,0.6013,0.0871,0.2933,0.8405,0.0821,0.0983
4,118,0.369,0.1704,0.4981,0.294,0.2026,0.0531
5,118,0.6904,0.1146,0.0242,0.9259,0.1295,0.0284
6,118,0.1945,0.5863,0.3802,0.0877,0.637,0.0211
7,118,0.1618,0.0528,0.1308,0.3379,0.064,0.0364
8,118,0.4981,0.1168,0.2978,0.6425,0.0971,0.1507
9,118,1.0,0.1124,1.0,0.9169,0.1092,0.1448
10,118,0.0267,0.2254,0.0317,0.0756,0.2545,0.1295
11,118,0.1047,0.0394,0.1247,0.1134,0.0369,0.0524
12,118,0.1084,0.2307,0.0212,0.294,0.241,0.2001
13,118,0.5754,0.0662,0.5208,0.607,0.0776,0.0393
14,118,0.3244,0.7664,0.1837,0.4701,0.7756,0.7438
15,118,0.8203,0.66,0.8889,0.4203,0.6431,0.7569
16,118,0.6555,0.2552,0.1293,0.8776,0.2869,0.1245
17,118,0.8189,0.1801,0.9153,0.2872,0.2048,0.0524
18,118,0.2769,0.1205,0.0779,0.7483,0.1288,0.0895
19,118,0.1136,0.0975,0.2063,0.1247,0.1107,0.0852
20,118,0.052,0.2076,0.0491,0.1353,0.2229,0.1405
21,118,0.239,0.1585,0.4225,0.1542,0.1762,0.0764
22,118,0.3215,0.1019,0.2736,0.3802,0.1235,0.0342
23,118,0.049,0.1488,0.0423,0.1043,0.1453,0.1397
24,118,0.9985,0.1756,0.997,0.8896,0.256,0.048
25,118,0.9978,0.9769,1.0,0.3046,0.9608,0.9687
26,118,0.9933,0.6801,0.9962,0.4339,0.692,0.5633
27,118,0.3742,0.1138,0.7717,0.1663,0.119,0.0866
28,118,0.5197,0.0856,0.514,0.542,0.0926,0.115
29,118,0.9926,0.372,0.9992,0.0673,0.3818,0.4345
30,118,0.3081,0.1295,0.3243,0.3998,0.122,0.1572
31,118,0.9985,0.2284,0.9992,0.8095,0.2425,0.1514
32,144,0.124,0.8616,0.0922,0.2366,0.8095,0.96
33,144,0.32,0.0856,0.0779,0.5125,0.0745,0.1055
34,144,0.0891,0.1198,0.3129,0.0113,0.116,0.0939
35,144,0.2888,0.1094,0.0711,0.5881,0.1032,0.1099
36,166,1.0,0.9911,1.0,0.9909,0.1107,0.992
37,166,0.02,0.1585,0.0302,0.1202,0.1664,0.1288
38,166,0.4521,0.1302,0.26,0.5427,0.113,0.2132
39,166,0.1425,0.1004,0.1285,0.2116,0.1017,0.0771
40,166,0.1752,0.0238,0.0688,0.3333,0.0158,0.155
41,166,0.0683,0.0,0.0915,0.1088,0.0015,0.0204
42,166,0.3252,0.0536,0.1602,0.5163,0.0595,0.0073
43,166,0.9094,0.9211,0.9667,0.2139,0.9232,0.7802
44,166,0.8114,0.1458,0.9524,0.4346,0.128,0.4716
45,166,0.2272,0.567,0.0779,0.4785,0.6536,0.1135
46,168,0.1463,0.1793,0.1459,0.2086,0.1935,0.0968
47,168,0.1203,0.9278,0.1285,0.1466,0.9247,0.9243
48,168,0.9376,0.5751,0.7521,0.9214,0.6069,0.0371
49,168,0.0928,0.0878,0.0325,0.2283,0.0858,0.1012
50,168,0.0408,0.2418,0.0854,0.0756,0.2681,0.1463
51,168,0.0646,0.154,0.0431,0.1111,0.1303,0.3428
52,168,0.0973,0.1496,0.1504,0.0907,0.1611,0.1179
53,168,0.1136,0.5007,0.2033,0.0892,0.5595,0.032
54,168,0.0579,0.1696,0.0892,0.0839,0.1747,0.1295
55,168,0.9376,0.8467,0.9811,0.1277,0.8509,0.762
56,168,0.7097,0.997,0.8821,0.1807,0.991,0.9985
57,168,0.0505,0.1429,0.0476,0.1247,0.1514,0.1368
58,168,0.1329,0.253,0.068,0.2698,0.2892,0.1419
59,168,0.0497,0.1629,0.0597,0.124,0.1755,0.0968
60,168,0.0668,0.7634,0.0869,0.0574,0.8012,0.4229
61,168,0.1522,0.125,0.0816,0.3621,0.1303,0.075
62,168,0.4135,0.2478,0.0771,0.7007,0.3494,0.0655
63,168,0.34,0.6324,0.1202,0.582,0.6536,0.5298
64,168,0.9013,0.7991,0.9675,0.0234,0.7997,0.7656
65,168,0.3823,0.1555,0.1633,0.5986,0.1589,0.1463
