trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1,199935708076,0.1553,0.0857,0.0659,0.119,0.1293,0.0415
2,199935708076,0.1661,0.0887,0.085,0.1234,0.0821,0.1062
3,200000313082,0.9633,0.0788,0.9944,0.064,0.0415,0.1121
4,200000313082,0.1938,0.1463,0.0659,0.195,0.0987,0.2246
5,200000615164,0.8214,0.1662,0.0715,0.8363,0.2057,0.1531
6,200001815190,0.9763,0.0831,0.9977,0.6503,0.0275,0.1344
7,200001911127,0.1714,0.0,0.0654,0.1561,0.0057,0.0058
8,200002315172,0.1437,0.9152,0.0668,0.1051,0.9345,0.2295
9,200002315172,0.795,0.5604,0.0523,0.805,0.3454,0.7701
10,200002412100,0.1482,0.0467,0.0654,0.1986,0.0227,0.0638
11,200002515056,0.8966,0.119,0.9603,0.5474,0.1424,0.104
12,200003111074,0.1504,0.0528,0.0589,0.1158,0.0882,0.075
13,200003211116,0.1365,0.093,0.0892,0.0814,0.1424,0.0433
14,200003211116,0.1952,0.2453,0.0948,0.1713,0.3441,0.2402
15,200003211116,0.1141,0.1402,0.057,0.0769,0.1122,0.1759
16,200003211116,0.1365,0.2315,0.0528,0.114,0.1249,0.4696
17,200004514100,0.9969,0.9212,0.9986,0.9347,0.3738,0.9768
18,200005013078,0.6061,0.0792,0.9505,0.0389,0.0559,0.1045
19,200005523227,0.1218,0.0653,0.0752,0.0738,0.0362,0.0866
20,200005617152,0.1629,0.0783,0.0878,0.1324,0.09,0.0795
21,200005617152,0.1741,0.0844,0.0579,0.2053,0.0406,0.129
22,200005814063,0.1674,0.087,0.0719,0.131,0.0598,0.1152
23,200005814063,0.308,0.1839,0.1499,0.4061,0.1934,0.1339
24,200006012086,0.9857,0.193,0.9986,0.5054,0.2048,0.1321
25,200006012086,0.765,0.1804,0.0668,0.7809,0.1721,0.175
26,200006017123,0.1226,0.0606,0.0831,0.0711,0.0445,0.092
27,200006017123,0.9785,0.9654,0.9916,0.7728,0.2188,0.9875
28,200006715189,0.1441,0.8451,0.0383,0.1252,0.9,0.3938
29,200007517119,0.1159,0.1056,0.0654,0.1185,0.0502,0.2013
30,200008317102,0.2229,0.4158,0.1093,0.2321,0.3978,0.5674
31,200008317102,0.1616,0.1402,0.0911,0.1082,0.1721,0.1643
32,200008317102,0.8997,0.254,0.9089,0.8184,0.2764,0.1634
33,200008920168,0.9342,0.0952,0.9514,0.7589,0.1131,0.0589
34,200009114156,0.1321,0.7404,0.0803,0.0917,0.0118,0.9295
35,200009928037,0.9767,0.2557,0.9949,0.8766,0.3087,0.1433
36,200010213128,0.1786,0.0437,0.0972,0.1315,0.045,0.0946
37,200010213128,0.966,0.3103,0.064,0.953,0.3869,0.1665
38,200010310095,0.128,0.0744,0.0859,0.0859,0.0245,0.1049
39,200010310095,0.1383,0.0679,0.064,0.1364,0.0249,0.0942
40,200010417182,0.077,0.0614,0.0238,0.0801,0.0769,0.0379
41,200010509127,0.0492,0.0532,0.0659,0.0863,0.0594,0.1295
42,200012506136,0.7807,0.045,0.0378,0.7889,0.0633,0.0344
43,200012506136,0.184,0.1289,0.0654,0.174,0.1755,0.1232
44,200013816119,0.1544,0.9481,0.0892,0.1064,0.9419,0.892
45,200014212262,0.9848,0.1943,0.9939,0.8851,0.2432,0.1188
46,200015011117,0.1902,0.3613,0.0794,0.1722,0.2118,0.6696
47,200016412256,0.8326,0.1731,0.7557,0.7867,0.1812,0.233
48,200017010268,0.1607,0.0943,0.1028,0.1105,0.0834,0.1138
49,200018413133,0.1379,0.4362,0.0766,0.0894,0.5419,0.2567
