feature,status,median_imputation_value,feature_range_after_imputation
distance_geometry_1_1,used,0.024399858687170962,0.9977888044435324
distance_geometry_2_1,used,0.045291041340630785,0.9998467538445593
distance_geometry_2_2,used,0.04792913161942018,0.9998708884262943
distance_geometry_3_1,used,0.06437933156020076,0.9999854574681426
distance_geometry_3_2,used,0.06704887467937112,0.9999998854920762
distance_geometry_3_3,used,0.06526930398697346,0.9998731400781115
distance_geometry_4_1,used,0.07951968113231896,0.9999989832375601
distance_geometry_4_2,used,0.0879614726022564,0.9999999324139593
distance_geometry_4_3,used,0.09127240723303223,0.9999281697017687
distance_geometry_4_4,used,0.09485999476939105,0.9999352508479127
distance_geometry_5_1,used,0.10293775010076064,0.9999802345861826
distance_geometry_5_2,used,0.10150564626831679,0.9999890338139734
distance_geometry_5_3,used,0.09803032840784529,0.999999919823617
distance_geometry_5_4,used,0.10144598057176524,0.9999976943238701
distance_geometry_5_5,used,0.11696445945723785,0.9999987910870319
angles_0s,used,0.0,20.0
angles_mean,used,105.44051585205506,133.32513972145205
angles_meanse,used,6.03751343713667,9.284180137208244
angles_quant_min,used,0.741678101270585,30.417687514764957
angles_quant_05,used,8.197211374236922,57.312883085805325
angles_quant_10,used,17.21468033571008,84.94807438536398
angles_quant_25,used,55.430655195587335,117.69074767976403
angles_quant_median,used,116.93168650734809,179.7202319296669
angles_quant_75,used,154.10778045041522,179.49363965473742
angles_quant_90,used,170.2846919391104,178.9823947985332
angles_quant_95,used,174.96064665265473,178.61344155590197
angles_quant_max,used,179.30399234652333,174.14251430359593
angles_range,used,177.2904517016695,174.1460248406026
angles_sd,used,53.32187490403217,81.99565881173407
angles_vcoef,used,0.5383350418477943,3.368565701780169
angles_mad,used,35.209600814469994,89.93372456175736
angles_iqr,used,84.58407747349604,179.65709815083258
angles_skew,used,-0.3770761234881822,8.683382232027649
angles_kurt,used,-0.8813139470327809,58.21956032641312
speed_0s,used,0.0,9.0
speed_mean,used,0.06625265030475405,10.374186088479266
speed_meanse,used,0.017597527183584462,1.2794811986482062
speed_quant_min,used,0.0004769765975089213,5.775526888487848
speed_quant_05,used,0.0015067684161725766,9.00687541411603
speed_quant_10,used,0.0021600123745185605,9.936212004403377
speed_quant_25,used,0.003748739194582942,10.280042862732913
speed_quant_median,used,0.007170465686099442,10.560737962059394
speed_quant_75,used,0.01515827480047489,18.45156007933351
speed_quant_90,used,0.06505496393859633,18.793820527151606
speed_quant_95,used,0.15742347137462792,19.068514357106906
speed_quant_max,used,1.042217375971744,86.13313663098648
speed_range,used,0.8994728876709746,86.13029568606116
speed_sd,used,0.1564102428716947,11.372277646885243
speed_vcoef,used,0.8350729259541472,8.636091647693258
speed_mad,used,0.0033793971545064134,8.667762083270366
speed_iqr,used,0.009469702112561615,18.44167014980796
speed_skew,used,1.1160958526866018,13.058603309651694
speed_kurt,used,0.8976471275758875,75.97491758812544
acceleration_0s,used,0.0,13.0
acceleration_mean,used,-1.4383518758737437e-07,0.0011612953303604058
acceleration_meanse,used,2.823510020701209e-05,0.002690220126871835
acceleration_quant_min,used,-0.0006822914224382498,0.11053541420248947
acceleration_quant_05,used,-8.968446515851842e-05,0.023278795105160732
acceleration_quant_10,used,-3.0110663111186642e-05,0.017676191318167132
acceleration_quant_25,used,-7.478719339953015e-06,0.011574429587737328
acceleration_quant_median,used,-1.3288226595264716e-09,0.002499477061519279
acceleration_quant_75,used,7.010793662157164e-06,0.010671270023826084
acceleration_quant_90,used,2.4920190060054892e-05,0.017198376683620044
acceleration_quant_95,used,7.895778923079431e-05,0.026688268097268174
acceleration_quant_max,used,0.0006661381349337578,0.1493139728449103
acceleration_range,used,0.002025199088671762,0.2598493870473998
acceleration_sd,used,0.0002509590600323111,0.023911199513012283
acceleration_vcoef,used,-8.811070193586445,5.933732036028018e+17
acceleration_mad,used,7.457406525098843e-06,0.01095070372502269
acceleration_iqr,used,1.5035196720272019e-05,0.02175690514844008
acceleration_skew,used,-0.04992598569433476,17.407995581146643
acceleration_kurt,used,7.381009205019679,75.40447457507523
point_count,dropped_constant_after_imputation,80.0,0.0
duration_total_seconds,used,43129.0,27369.0
sampling_gap_mean_seconds,used,545.9367088607594,346.44303797468353
sampling_gap_sd_seconds,used,4.273909613547171e-07,4.999599678693454e-07
sampling_gap_iqr_seconds,used,0.0,1.0000000543186616e-06
sampling_gap_cv,used,7.957544474589296e-10,2.419303728098374e-09
speed_mean_first_half,used,0.017558597937750636,10.191135079711405
speed_mean_second_half,used,0.012812015039783246,11.897624553154337
speed_mean_half_diff,used,-0.0005796864600862023,18.409958488121326
acceleration_mean_first_half,used,4.957022070350066e-06,0.03419585582232597
acceleration_mean_second_half,used,-4.4228114486383736e-10,0.0022036787298956037
acceleration_mean_half_diff,used,-4.277303050367057e-06,0.034017739587407544
bbox_lat_span_deg,used,0.004278026037489724,1.7394946771554984
bbox_lon_span_deg,used,0.005656565702970795,2.9832199582071155
bbox_height_m,used,475.6947914219787,193422.9830249056
bbox_width_m,used,425.15825964078533,221171.49242332194
bbox_diagonal_m,used,989.9745543987456,263637.75913937995
bbox_area_km2,used,0.21198151064816667,31847.80086663036
path_length_m,used,2954.174625857339,524009.0151611998
net_displacement_m,used,10.242563678351836,262856.3126919596
directness_ratio,used,0.02414807280735382,0.9964278933262336
mean_distance_to_centroid_m,used,82.01808238257894,80502.95887112741
median_distance_to_centroid_m,used,52.142564812381295,83091.11060047815
max_distance_to_centroid_m,used,746.8469967241895,174074.59697018078
radius_of_gyration_m,used,172.3142149489921,87068.9007574336
speed_progress_slope,used,-0.0015712429818248207,28.566260963996562
acceleration_progress_slope,used,-2.942331049764873e-05,0.10029990689979566
angle_progress_slope,used,1.8025208737943719,414.93239959139953
relative_grid_unique_cells_3x3,used,7.0,7.0
relative_grid_entropy_3x3,used,2.0436068574856536,2.9742658676663156
relative_transition_entropy_3x3,used,2.842440939833342,5.398568804562508
relative_grid_revisit_ratio_3x3,used,0.9125,0.08750000000000002
