feature,bin_label,lower_bound,upper_bound,lower_inclusive,upper_inclusive,n_non_missing,n_missing,status
distance_geometry_1_1,low,-inf,0.014138785947714083,true,true,4670,0,used
distance_geometry_1_1,medium,0.014138785947714083,0.08258089198322083,false,true,4670,0,used
distance_geometry_1_1,high,0.08258089198322083,inf,false,true,4670,0,used
distance_geometry_2_1,low,-inf,0.027047859748497303,true,true,4670,0,used
distance_geometry_2_1,medium,0.027047859748497303,0.11086703078446318,false,true,4670,0,used
distance_geometry_2_1,high,0.11086703078446318,inf,false,true,4670,0,used
distance_geometry_2_2,low,-inf,0.02877291208716914,true,true,4670,0,used
distance_geometry_2_2,medium,0.02877291208716914,0.12361958240236005,false,true,4670,0,used
distance_geometry_2_2,high,0.12361958240236005,inf,false,true,4670,0,used
distance_geometry_3_1,low,-inf,0.04005836034032411,true,true,4670,0,used
distance_geometry_3_1,medium,0.04005836034032411,0.1428808720404027,false,true,4670,0,used
distance_geometry_3_1,high,0.1428808720404027,inf,false,true,4670,0,used
distance_geometry_3_2,low,-inf,0.041516757250718954,true,true,4670,0,used
distance_geometry_3_2,medium,0.041516757250718954,0.14539387894358902,false,true,4670,0,used
distance_geometry_3_2,high,0.14539387894358902,inf,false,true,4670,0,used
distance_geometry_3_3,low,-inf,0.040066693892545364,true,true,4670,0,used
distance_geometry_3_3,medium,0.040066693892545364,0.1425857054445404,false,true,4670,0,used
distance_geometry_3_3,high,0.1425857054445404,inf,false,true,4670,0,used
distance_geometry_4_1,low,-inf,0.050916906001381865,true,true,4670,0,used
distance_geometry_4_1,medium,0.050916906001381865,0.16548837473168473,false,true,4670,0,used
distance_geometry_4_1,high,0.16548837473168473,inf,false,true,4670,0,used
distance_geometry_4_2,low,-inf,0.055270617619073405,true,true,4670,0,used
distance_geometry_4_2,medium,0.055270617619073405,0.17970408492264975,false,true,4670,0,used
distance_geometry_4_2,high,0.17970408492264975,inf,false,true,4670,0,used
distance_geometry_4_3,low,-inf,0.05693414540768679,true,true,4670,0,used
distance_geometry_4_3,medium,0.05693414540768679,0.19040019038402217,false,true,4670,0,used
distance_geometry_4_3,high,0.19040019038402217,inf,false,true,4670,0,used
distance_geometry_4_4,low,-inf,0.06057285712227306,true,true,4670,0,used
distance_geometry_4_4,medium,0.06057285712227306,0.1828345416285412,false,true,4670,0,used
distance_geometry_4_4,high,0.1828345416285412,inf,false,true,4670,0,used
distance_geometry_5_1,low,-inf,0.06588549680492381,true,true,4670,0,used
distance_geometry_5_1,medium,0.06588549680492381,0.2115935774321342,false,true,4670,0,used
distance_geometry_5_1,high,0.2115935774321342,inf,false,true,4670,0,used
distance_geometry_5_2,low,-inf,0.06277616894777294,true,true,4670,0,used
distance_geometry_5_2,medium,0.06277616894777294,0.21354523078382107,false,true,4670,0,used
distance_geometry_5_2,high,0.21354523078382107,inf,false,true,4670,0,used
distance_geometry_5_3,low,-inf,0.06132994311197027,true,true,4670,0,used
distance_geometry_5_3,medium,0.06132994311197027,0.19962976269372737,false,true,4670,0,used
distance_geometry_5_3,high,0.19962976269372737,inf,false,true,4670,0,used
distance_geometry_5_4,low,-inf,0.06576740244067818,true,true,4670,0,used
distance_geometry_5_4,medium,0.06576740244067818,0.204658337926468,false,true,4670,0,used
distance_geometry_5_4,high,0.204658337926468,inf,false,true,4670,0,used
distance_geometry_5_5,low,-inf,0.0759100316468184,true,true,4670,0,used
distance_geometry_5_5,medium,0.0759100316468184,0.2048903475673872,false,true,4670,0,used
distance_geometry_5_5,high,0.2048903475673872,inf,false,true,4670,0,used
angles_0s,,0.0,0.0,,,4670,0,dropped_insufficient_distinct_quantiles
angles_mean,low,-inf,84.88041809187004,true,true,4670,0,used
angles_mean,medium,84.88041809187004,113.2496229192315,false,true,4670,0,used
angles_mean,high,113.2496229192315,inf,false,true,4670,0,used
angles_meanse,low,-inf,5.710873455622722,true,true,4670,0,used
angles_meanse,medium,5.710873455622722,6.454628386426484,false,true,4670,0,used
angles_meanse,high,6.454628386426484,inf,false,true,4670,0,used
angles_quant_min,low,-inf,0.21380321820712792,true,true,4670,0,used
angles_quant_min,medium,0.21380321820712792,1.9718854942213622,false,true,4670,0,used
angles_quant_min,high,1.9718854942213622,inf,false,true,4670,0,used
angles_quant_05,low,-inf,2.5193594955069383,true,true,4670,0,used
angles_quant_05,medium,2.5193594955069383,15.377473237252273,false,true,4670,0,used
angles_quant_05,high,15.377473237252273,inf,false,true,4670,0,used
angles_quant_10,low,-inf,5.671766136215975,true,true,4670,0,used
angles_quant_10,medium,5.671766136215975,30.13822676731391,false,true,4670,0,used
angles_quant_10,high,30.13822676731391,inf,false,true,4670,0,used
angles_quant_25,low,-inf,20.46114494066852,true,true,4670,0,used
angles_quant_25,medium,20.46114494066852,74.13216689592066,false,true,4670,0,used
angles_quant_25,high,74.13216689592066,inf,false,true,4670,0,used
angles_quant_median,low,-inf,82.49604092150183,true,true,4670,0,used
