itemset_id,items,itemset_length,support_count,support_ratio
RAW-FP-I00001,sampling_gap_iqr_seconds=low,1,2375,0.5085653104925053
RAW-FP-I00002,sampling_gap_iqr_seconds=medium,1,2281,0.4884368308351178
RAW-FP-I00003,relative_grid_unique_cells_3x3=low,1,2210,0.4732334047109208
RAW-FP-I00004,relative_grid_unique_cells_3x3=medium,1,1674,0.358458244111349
RAW-FP-I00005,sampling_gap_sd_seconds=medium,1,1613,0.34539614561027837
RAW-FP-I00006,relative_grid_revisit_ratio_3x3=medium,1,1610,0.34475374732334046
RAW-FP-I00007,relative_grid_revisit_ratio_3x3=low,1,1602,0.3430406852248394
RAW-FP-I00008,sampling_gap_cv=medium,1,1591,0.34068522483940045
RAW-FP-I00009,duration_total_seconds=medium,1,1589,0.3402569593147752
RAW-FP-I00010,sampling_gap_mean_seconds=medium,1,1589,0.3402569593147752
RAW-FP-I00011,duration_total_seconds=low,1,1570,0.3361884368308351
RAW-FP-I00012,sampling_gap_mean_seconds=low,1,1570,0.3361884368308351
RAW-FP-I00013,sampling_gap_cv=low,1,1569,0.33597430406852247
RAW-FP-I00014,sampling_gap_sd_seconds=low,1,1559,0.33383297644539617
RAW-FP-I00015,acceleration_iqr=high,1,1557,0.3334047109207709
RAW-FP-I00016,acceleration_iqr=low,1,1557,0.3334047109207709
RAW-FP-I00017,acceleration_kurt=high,1,1557,0.3334047109207709
RAW-FP-I00018,acceleration_kurt=low,1,1557,0.3334047109207709
RAW-FP-I00019,acceleration_mad=high,1,1557,0.3334047109207709
RAW-FP-I00020,acceleration_mad=low,1,1557,0.3334047109207709
RAW-FP-I00021,acceleration_mean=high,1,1557,0.3334047109207709
RAW-FP-I00022,acceleration_mean=low,1,1557,0.3334047109207709
RAW-FP-I00023,acceleration_mean_first_half=high,1,1557,0.3334047109207709
RAW-FP-I00024,acceleration_mean_first_half=low,1,1557,0.3334047109207709
RAW-FP-I00025,acceleration_mean_half_diff=high,1,1557,0.3334047109207709
RAW-FP-I00026,acceleration_mean_half_diff=low,1,1557,0.3334047109207709
RAW-FP-I00027,acceleration_mean_second_half=high,1,1557,0.3334047109207709
RAW-FP-I00028,acceleration_mean_second_half=low,1,1557,0.3334047109207709
RAW-FP-I00029,acceleration_meanse=high,1,1557,0.3334047109207709
RAW-FP-I00030,acceleration_meanse=low,1,1557,0.3334047109207709
RAW-FP-I00031,acceleration_progress_slope=high,1,1557,0.3334047109207709
RAW-FP-I00032,acceleration_progress_slope=low,1,1557,0.3334047109207709
RAW-FP-I00033,acceleration_quant_05=high,1,1557,0.3334047109207709
RAW-FP-I00034,acceleration_quant_05=low,1,1557,0.3334047109207709
RAW-FP-I00035,acceleration_quant_10=high,1,1557,0.3334047109207709
RAW-FP-I00036,acceleration_quant_10=low,1,1557,0.3334047109207709
RAW-FP-I00037,acceleration_quant_25=high,1,1557,0.3334047109207709
RAW-FP-I00038,acceleration_quant_25=low,1,1557,0.3334047109207709
RAW-FP-I00039,acceleration_quant_75=high,1,1557,0.3334047109207709
RAW-FP-I00040,acceleration_quant_75=low,1,1557,0.3334047109207709
RAW-FP-I00041,acceleration_quant_90=high,1,1557,0.3334047109207709
RAW-FP-I00042,acceleration_quant_90=low,1,1557,0.3334047109207709
RAW-FP-I00043,acceleration_quant_95=high,1,1557,0.3334047109207709
RAW-FP-I00044,acceleration_quant_95=low,1,1557,0.3334047109207709
RAW-FP-I00045,acceleration_quant_max=high,1,1557,0.3334047109207709
RAW-FP-I00046,acceleration_quant_max=low,1,1557,0.3334047109207709
RAW-FP-I00047,acceleration_quant_median=high,1,1557,0.3334047109207709
RAW-FP-I00048,acceleration_quant_median=low,1,1557,0.3334047109207709
RAW-FP-I00049,acceleration_quant_min=high,1,1557,0.3334047109207709
RAW-FP-I00050,acceleration_quant_min=low,1,1557,0.3334047109207709
RAW-FP-I00051,acceleration_range=high,1,1557,0.3334047109207709
RAW-FP-I00052,acceleration_range=low,1,1557,0.3334047109207709
RAW-FP-I00053,acceleration_sd=high,1,1557,0.3334047109207709
RAW-FP-I00054,acceleration_sd=low,1,1557,0.3334047109207709
RAW-FP-I00055,acceleration_skew=high,1,1557,0.3334047109207709
RAW-FP-I00056,acceleration_skew=low,1,1557,0.3334047109207709
RAW-FP-I00057,acceleration_vcoef=high,1,1557,0.3334047109207709
RAW-FP-I00058,acceleration_vcoef=low,1,1557,0.3334047109207709
RAW-FP-I00059,angle_progress_slope=high,1,1557,0.3334047109207709
RAW-FP-I00060,angle_progress_slope=low,1,1557,0.3334047109207709
RAW-FP-I00061,angles_iqr=high,1,1557,0.3334047109207709
RAW-FP-I00062,angles_iqr=low,1,1557,0.3334047109207709
RAW-FP-I00063,angles_kurt=high,1,1557,0.3334047109207709
RAW-FP-I00064,angles_kurt=low,1,1557,0.3334047109207709
RAW-FP-I00065,angles_mad=high,1,1557,0.3334047109207709
RAW-FP-I00066,angles_mad=low,1,1557,0.3334047109207709
RAW-FP-I00067,angles_mean=high,1,1557,0.3334047109207709
RAW-FP-I00068,angles_mean=low,1,1557,0.3334047109207709
RAW-FP-I00069,angles_meanse=high,1,1557,0.3334047109207709
RAW-FP-I00070,angles_meanse=low,1,1557,0.3334047109207709
RAW-FP-I00071,angles_quant_05=high,1,1557,0.3334047109207709
RAW-FP-I00072,angles_quant_05=low,1,1557,0.3334047109207709
RAW-FP-I00073,angles_quant_10=high,1,1557,0.3334047109207709
RAW-FP-I00074,angles_quant_10=low,1,1557,0.3334047109207709
RAW-FP-I00075,angles_quant_25=high,1,1557,0.3334047109207709
RAW-FP-I00076,angles_quant_25=low,1,1557,0.3334047109207709
RAW-FP-I00077,angles_quant_75=high,1,1557,0.3334047109207709
RAW-FP-I00078,angles_quant_75=low,1,1557,0.3334047109207709
RAW-FP-I00079,angles_quant_90=high,1,1557,0.3334047109207709
RAW-FP-I00080,angles_quant_90=low,1,1557,0.3334047109207709
RAW-FP-I00081,angles_quant_95=high,1,1557,0.3334047109207709
RAW-FP-I00082,angles_quant_95=low,1,1557,0.3334047109207709
RAW-FP-I00083,angles_quant_max=high,1,1557,0.3334047109207709
RAW-FP-I00084,angles_quant_max=low,1,1557,0.3334047109207709
RAW-FP-I00085,angles_quant_median=high,1,1557,0.3334047109207709
RAW-FP-I00086,angles_quant_median=low,1,1557,0.3334047109207709
RAW-FP-I00087,angles_quant_min=high,1,1557,0.3334047109207709
RAW-FP-I00088,angles_quant_min=low,1,1557,0.3334047109207709
RAW-FP-I00089,angles_range=high,1,1557,0.3334047109207709
RAW-FP-I00090,angles_range=low,1,1557,0.3334047109207709
RAW-FP-I00091,angles_sd=high,1,1557,0.3334047109207709
RAW-FP-I00092,angles_sd=low,1,1557,0.3334047109207709
RAW-FP-I00093,angles_skew=high,1,1557,0.3334047109207709
RAW-FP-I00094,angles_skew=low,1,1557,0.3334047109207709
RAW-FP-I00095,angles_vcoef=high,1,1557,0.3334047109207709
RAW-FP-I00096,angles_vcoef=low,1,1557,0.3334047109207709
RAW-FP-I00097,bbox_area_km2=high,1,1557,0.3334047109207709
RAW-FP-I00098,bbox_area_km2=low,1,1557,0.3334047109207709
RAW-FP-I00099,bbox_diagonal_m=high,1,1557,0.3334047109207709
RAW-FP-I00100,bbox_diagonal_m=low,1,1557,0.3334047109207709
RAW-FP-I00101,bbox_height_m=high,1,1557,0.3334047109207709
RAW-FP-I00102,bbox_height_m=low,1,1557,0.3334047109207709
RAW-FP-I00103,bbox_lat_span_deg=high,1,1557,0.3334047109207709
RAW-FP-I00104,bbox_lat_span_deg=low,1,1557,0.3334047109207709
RAW-FP-I00105,bbox_lon_span_deg=high,1,1557,0.3334047109207709
RAW-FP-I00106,bbox_lon_span_deg=low,1,1557,0.3334047109207709
RAW-FP-I00107,bbox_width_m=high,1,1557,0.3334047109207709
RAW-FP-I00108,bbox_width_m=low,1,1557,0.3334047109207709
RAW-FP-I00109,directness_ratio=high,1,1557,0.3334047109207709
RAW-FP-I00110,directness_ratio=low,1,1557,0.3334047109207709
RAW-FP-I00111,distance_geometry_1_1=high,1,1557,0.3334047109207709
RAW-FP-I00112,distance_geometry_1_1=low,1,1557,0.3334047109207709
RAW-FP-I00113,distance_geometry_2_1=high,1,1557,0.3334047109207709
RAW-FP-I00114,distance_geometry_2_1=low,1,1557,0.3334047109207709
RAW-FP-I00115,distance_geometry_2_2=high,1,1557,0.3334047109207709
RAW-FP-I00116,distance_geometry_2_2=low,1,1557,0.3334047109207709
RAW-FP-I00117,distance_geometry_3_1=high,1,1557,0.3334047109207709
RAW-FP-I00118,distance_geometry_3_1=low,1,1557,0.3334047109207709
RAW-FP-I00119,distance_geometry_3_2=high,1,1557,0.3334047109207709
RAW-FP-I00120,distance_geometry_3_2=low,1,1557,0.3334047109207709
RAW-FP-I00121,distance_geometry_3_3=high,1,1557,0.3334047109207709
RAW-FP-I00122,distance_geometry_3_3=low,1,1557,0.3334047109207709
RAW-FP-I00123,distance_geometry_4_1=high,1,1557,0.3334047109207709
RAW-FP-I00124,distance_geometry_4_1=low,1,1557,0.3334047109207709
RAW-FP-I00125,distance_geometry_4_2=high,1,1557,0.3334047109207709
RAW-FP-I00126,distance_geometry_4_2=low,1,1557,0.3334047109207709
RAW-FP-I00127,distance_geometry_4_3=high,1,1557,0.3334047109207709
RAW-FP-I00128,distance_geometry_4_3=low,1,1557,0.3334047109207709
RAW-FP-I00129,distance_geometry_4_4=high,1,1557,0.3334047109207709
RAW-FP-I00130,distance_geometry_4_4=low,1,1557,0.3334047109207709
RAW-FP-I00131,distance_geometry_5_1=high,1,1557,0.3334047109207709
RAW-FP-I00132,distance_geometry_5_1=low,1,1557,0.3334047109207709
RAW-FP-I00133,distance_geometry_5_2=high,1,1557,0.3334047109207709
RAW-FP-I00134,distance_geometry_5_2=low,1,1557,0.3334047109207709
