node_id,node_name,parent_id,depth,is_leaf,n_features,features
Movement_variables,Movement variables,,0,false,104,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_mean_first_half;acceleration_mean_half_diff;acceleration_mean_second_half;acceleration_meanse;acceleration_progress_slope;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef;angle_progress_slope;angles_0s;angles_iqr;angles_kurt;angles_mad;angles_mean;angles_meanse;angles_quant_05;angles_quant_10;angles_quant_25;angles_quant_75;angles_quant_90;angles_quant_95;angles_quant_max;angles_quant_median;angles_quant_min;angles_range;angles_sd;angles_skew;angles_vcoef;bbox_area_km2;bbox_diagonal_m;bbox_height_m;bbox_lat_span_deg;bbox_lon_span_deg;bbox_width_m;directness_ratio;distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5;duration_total_seconds;max_distance_to_centroid_m;mean_distance_to_centroid_m;median_distance_to_centroid_m;net_displacement_m;path_length_m;point_count;radius_of_gyration_m;relative_grid_entropy_3x3;relative_grid_revisit_ratio_3x3;relative_grid_unique_cells_3x3;relative_transition_entropy_3x3;sampling_gap_cv;sampling_gap_iqr_seconds;sampling_gap_mean_seconds;sampling_gap_sd_seconds;speed_0s;speed_iqr;speed_kurt;speed_mad;speed_mean;speed_mean_first_half;speed_mean_half_diff;speed_mean_second_half;speed_meanse;speed_progress_slope;speed_quant_05;speed_quant_10;speed_quant_25;speed_quant_75;speed_quant_90;speed_quant_95;speed_quant_max;speed_quant_median;speed_quant_min;speed_range;speed_sd;speed_skew;speed_vcoef
Geometric,Geometric,Movement_variables,1,false,34,angles_0s;angles_iqr;angles_kurt;angles_mad;angles_mean;angles_meanse;angles_quant_05;angles_quant_10;angles_quant_25;angles_quant_75;angles_quant_90;angles_quant_95;angles_quant_max;angles_quant_median;angles_quant_min;angles_range;angles_sd;angles_skew;angles_vcoef;distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5
Kinematic,Kinematic,Movement_variables,1,false,38,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef;speed_0s;speed_iqr;speed_kurt;speed_mad;speed_mean;speed_meanse;speed_quant_05;speed_quant_10;speed_quant_25;speed_quant_75;speed_quant_90;speed_quant_95;speed_quant_max;speed_quant_median;speed_quant_min;speed_range;speed_sd;speed_skew;speed_vcoef
Spatial_Context,Spatial_Context,Movement_variables,1,false,13,bbox_area_km2;bbox_diagonal_m;bbox_height_m;bbox_lat_span_deg;bbox_lon_span_deg;bbox_width_m;directness_ratio;max_distance_to_centroid_m;mean_distance_to_centroid_m;median_distance_to_centroid_m;net_displacement_m;path_length_m;radius_of_gyration_m
SpatioTemporal_Dynamics,SpatioTemporal_Dynamics,Movement_variables,1,false,7,acceleration_progress_slope;angle_progress_slope;relative_grid_entropy_3x3;relative_grid_revisit_ratio_3x3;relative_grid_unique_cells_3x3;relative_transition_entropy_3x3;speed_progress_slope
Temporal,Temporal,Movement_variables,1,false,12,acceleration_mean_first_half;acceleration_mean_half_diff;acceleration_mean_second_half;duration_total_seconds;point_count;sampling_gap_cv;sampling_gap_iqr_seconds;sampling_gap_mean_seconds;sampling_gap_sd_seconds;speed_mean_first_half;speed_mean_half_diff;speed_mean_second_half
Acceleration,Acceleration,Kinematic,2,true,19,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef
Curvature,Curvature,Geometric,2,true,15,distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5
Displacement,Displacement,Spatial_Context,2,true,3,directness_ratio;net_displacement_m;path_length_m
Duration,Duration,Temporal,2,true,2,duration_total_seconds;point_count
