rule_id,trajectory_id,target_item,is_target,is_contrast,antecedent_satisfied,target_satisfied
R00001,120,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,206,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,False,True,True,False
R00001,226,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,263,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,268,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,295,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,297,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,307,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,312,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,341,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,346,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,380,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,False,True,True,False
R00001,547,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,634,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,944,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,947,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,991,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1078,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1079,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1083,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1141,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1598,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,False,True,True,False
R00001,1687,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1694,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1697,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,False,True,True,False
R00001,1703,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1752,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1757,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1789,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1795,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1875,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1883,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1976,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1978,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
R00001,1979,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,True,False,True,True
