pair_id,n_trajectories,n_missing,n_normal,n_hybrid,n_uncommon_total,pct_normal,pct_hybrid,pct_uncommon_total,entropy,non_normal_ratio,dominant_label,dominant_label_ratio,count__Normal,count__Hybrid,count__Uncommon_Acceleration,count__Uncommon_Curvature,count__Uncommon_Displacement,count__Uncommon_Duration,count__Uncommon_Extent,count__Uncommon_Geometric,count__Uncommon_Indentation,count__Uncommon_Kinematic,count__Uncommon_Localization,count__Uncommon_Path_Evolution,count__Uncommon_Phase_Change,count__Uncommon_Sampling_Gaps,count__Uncommon_Sequence_Complexity,count__Uncommon_Spatial_Context,count__Uncommon_SpatioTemporal_Dynamics,count__Uncommon_Speed,count__Uncommon_Temporal
Acceleration__x__Curvature,4670,0,1169,2362,1139,0.25032119914346895,0.5057815845824412,0.24389721627408995,1.7379479609029391,0.749678800856531,Hybrid,0.5057815845824412,1169,2362,565,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Displacement,4670,0,1302,2480,888,0.27880085653104925,0.5310492505353319,0.19014989293361884,1.6434861007883101,0.7211991434689508,Hybrid,0.5310492505353319,1302,2480,475,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Duration,4670,0,1785,2080,805,0.3822269807280514,0.44539614561027835,0.17237687366167023,1.6596087394031924,0.6177730192719486,Hybrid,0.44539614561027835,1785,2080,408,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Extent,4670,0,1207,2333,1130,0.25845824411134904,0.49957173447537473,0.24197002141327623,1.7418286239173957,0.741541755888651,Hybrid,0.49957173447537473,1207,2333,547,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Indentation,4670,0,1153,2355,1162,0.2468950749464668,0.5042826552462527,0.2488222698072805,1.7444047151262403,0.7531049250535332,Hybrid,0.5042826552462527,1153,2355,593,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Localization,4670,0,1195,2373,1102,0.2558886509635974,0.50813704496788,0.2359743040685225,1.7267929990769693,0.7441113490364025,Hybrid,0.50813704496788,1195,2373,529,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0
Acceleration__x__Path_Evolution,4670,0,1312,2417,941,0.2809421841541756,0.517558886509636,0.20149892933618843,1.673562519821751,0.7190578158458244,Hybrid,0.517558886509636,1312,2417,474,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0
Acceleration__x__Phase_Change,4670,0,1282,2401,987,0.2745182012847966,0.5141327623126338,0.2113490364025696,1.6906911093348889,0.7254817987152035,Hybrid,0.5141327623126338,1282,2401,490,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0
Acceleration__x__Sampling_Gaps,4670,0,1691,2113,866,0.3620985010706638,0.45246252676659526,0.1854389721627409,1.684499560500731,0.6379014989293362,Hybrid,0.45246252676659526,1691,2113,422,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0
Acceleration__x__Sequence_Complexity,4670,0,1209,2343,1118,0.2588865096359743,0.5017130620985011,0.23940042826552463,1.7371202309339662,0.7411134903640257,Hybrid,0.5017130620985011,1209,2343,563,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0
