trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
1,76,21,44,11,55,0.7236842105263158,0.5789473684210527,0.14473684210526316,Duration,6,0.5454545454545454,1.6694613015656643,0,0,1,6,1,0,0,0,1,0,1,0,1,0,0,0,0
2,76,24,27,25,52,0.6842105263157895,0.35526315789473684,0.32894736842105265,Localization,6,0.24,2.409700209616406,0,3,0,0,6,1,6,0,6,1,0,0,0,2,0,0,0
3,76,0,74,2,76,1.0,0.9736842105263158,0.02631578947368421,Path_Evolution,1,0.5,0.20188081533118699,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,76,9,58,9,67,0.881578947368421,0.7631578947368421,0.11842105263157894,Speed,4,0.4444444444444444,1.2440824775175328,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,4,0
5,76,4,57,15,72,0.9473684210526315,0.75,0.19736842105263158,Spatial_Context,2,0.13333333333333333,1.6890494765042392,2,1,0,1,1,2,1,0,1,1,1,1,0,2,1,0,0
6,76,46,9,21,30,0.39473684210526316,0.11842105263157894,0.27631578947368424,Speed,8,0.38095238095238093,1.7508954812023543,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,8,0
7,76,10,49,17,66,0.868421052631579,0.6447368421052632,0.2236842105263158,Displacement,5,0.29411764705882354,1.7800414047673687,5,0,5,0,1,0,4,0,1,0,1,0,0,0,0,0,0
8,76,21,36,19,55,0.7236842105263158,0.47368421052631576,0.25,Path_Evolution,6,0.3157894736842105,2.1608139813808536,0,1,2,0,0,0,0,0,3,6,0,0,1,0,4,2,0
9,76,15,40,21,61,0.8026315789473685,0.5263157894736842,0.27631578947368424,Extent,6,0.2857142857142857,2.2512808655999983,0,2,0,3,6,1,4,0,0,0,0,2,0,1,1,0,1
10,76,1,67,8,75,0.9868421052631579,0.881578947368421,0.10526315789473684,Path_Evolution,2,0.25,0.7949278323821282,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
11,76,3,55,18,73,0.9605263157894737,0.7236842105263158,0.23684210526315788,Phase_Change,3,0.16666666666666666,1.8599727864938056,2,1,0,2,1,1,1,1,0,2,3,1,0,0,1,1,1
12,76,15,32,29,61,0.8026315789473685,0.42105263157894735,0.3815789473684211,Localization,6,0.20689655172413793,2.607895158819434,6,0,6,0,0,0,0,1,6,3,2,0,0,1,0,3,1
13,76,4,58,14,72,0.9473684210526315,0.7631578947368421,0.18421052631578946,Spatial_Context,3,0.21428571428571427,1.5569040237124974,1,0,2,1,0,0,0,1,1,1,1,2,0,3,0,1,0
14,76,10,46,20,66,0.868421052631579,0.6052631578947368,0.2631578947368421,Path_Evolution,5,0.25,2.1832857844707827,2,0,2,0,0,0,0,1,2,5,1,0,2,1,1,2,1
15,76,11,33,32,65,0.8552631578947368,0.4342105263157895,0.42105263157894735,Speed,4,0.125,2.8101164444172344,0,0,0,4,4,0,0,1,4,4,0,4,3,2,2,4,0
16,76,21,36,19,55,0.7236842105263158,0.47368421052631576,0.25,Acceleration,6,0.3157894736842105,2.1033859816887452,6,1,0,0,0,0,5,0,0,3,3,0,0,0,0,0,1
17,76,6,47,23,70,0.9210526315789473,0.618421052631579,0.3026315789473684,SpatioTemporal_Dynamics,3,0.13043478260869565,2.243323716812096,3,0,1,2,2,0,1,1,3,3,3,0,0,0,3,1,0
18,76,11,43,22,65,0.8552631578947368,0.5657894736842105,0.2894736842105263,Localization,4,0.18181818181818182,2.26249452316033,4,2,0,0,3,0,0,1,4,2,0,3,0,1,0,2,0
19,76,18,38,20,58,0.7631578947368421,0.5,0.2631578947368421,Phase_Change,4,0.2,2.175566387845273,0,3,3,0,4,0,0,0,0,0,4,3,0,0,0,3,0
20,76,34,32,10,42,0.5526315789473685,0.42105263157894735,0.13157894736842105,Extent,6,0.6,1.6363023607220266,0,1,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0
21,76,24,43,9,52,0.6842105263157895,0.5657894736842105,0.11842105263157894,Extent,5,0.5555555555555556,1.5771627115497067,0,0,0,1,5,0,1,0,1,0,0,0,1,0,0,0,0
22,76,9,49,18,67,0.881578947368421,0.6447368421052632,0.23684210526315788,Speed,4,0.2222222222222222,1.9367418900932432,1,2,1,0,0,0,0,2,4,0,2,0,0,0,0,4,2
23,76,3,51,22,73,0.9605263157894737,0.6710526315789473,0.2894736842105263,Sampling_Gaps,3,0.13636363636363635,2.039729915370861,1,0,1,3,3,1,3,0,0,0,3,3,0,1,1,2,0
24,76,18,31,27,58,0.7631578947368421,0.40789473684210525,0.35526315789473684,Speed,6,0.2222222222222222,2.439602208609033,6,0,3,0,0,0,0,3,0,6,0,0,0,0,3,6,0
25,76,21,34,21,55,0.7236842105263158,0.4473684210526316,0.27631578947368424,Localization,6,0.2857142857142857,2.1861334879668815,0,1,0,5,0,0,0,0,6,1,0,5,0,0,0,3,0
26,76,16,31,29,60,0.7894736842105263,0.40789473684210525,0.3815789473684211,Sampling_Gaps,6,0.20689655172413793,2.61873124266042,0,0,2,6,0,0,0,1,0,5,5,6,0,0,2,1,1
27,76,18,26,32,58,0.7631578947368421,0.34210526315789475,0.42105263157894735,Sequence_Complexity,6,0.1875,2.720768694797517,2,0,0,6,0,3,6,0,0,2,0,6,6,0,1,0,0
28,76,27,24,25,49,0.6447368421052632,0.3157894736842105,0.32894736842105265,Extent,6,0.24,2.4032498807259706,0,0,0,6,6,0,0,0,4,0,0,4,0,3,0,2,0
29,76,13,26,37,63,0.8289473684210527,0.34210526315789475,0.4868421052631579,Localization,5,0.13513513513513514,3.0024558629812166,0,0,5,0,5,0,0,0,5,4,0,4,4,3,3,4,0
30,76,31,27,18,45,0.5921052631578947,0.35526315789473684,0.23684210526315788,Speed,5,0.2777777777777778,2.107255090632963,0,0,1,0,0,0,1,3,0,5,0,0,0,0,3,5,0
31,76,18,43,15,58,0.7631578947368421,0.5657894736842105,0.19736842105263158,Indentation,6,0.4,1.860985612301405,3,0,1,0,0,3,6,0,1,1,0,0,0,0,0,0,0
