rule_id,pattern,evidence,n_covered,rule_support_count,rule_support_ratio,target_coverage,confidence,lift,growth_rate,growth_rate_status,covered_trajectory_ids
R00001,"When Speed Dynamics is unusual relative to Acceleration Dynamics and Temporal Sequential Context is unusual relative to Curvature Geometry, Speed Dynamics is also unusual relative to Curvature Geometry.",43 of 44 matching trajectories (97.7%) also showed this outcome; this is 8.2× its overall rate.,44,43,0.009207708779443255,0.07719928186714542,0.9772727272727273,8.193651052717481,317.5206463195691,finite,166;199;220;289;385;427;524;553;682;684;913;1015;1063;1098;1194;1230;1391;1402;1550;1554;1648;1651;1779;1803;1906;2010;2025;2331;2370;2672;2788;2906;3014;3752;3833;4211;4353;4446;4506;4533;4543;4549;4552;4667
R00002,"When Curvature Geometry is unusual relative to Spatial Reach and Route and Temporal Sequential Context is unusual relative to Speed Dynamics, Curvature Geometry is also unusual relative to Speed Dynamics.",60 of 62 matching trajectories (96.8%) also showed this outcome; this is 8.0× its overall rate.,62,60,0.01284796573875803,0.10657193605683836,0.967741935483871,8.02727324815218,218.84547069271758,finite,173;232;234;239;265;355;358;382;419;500;772;983;1052;1182;1185;1191;1217;1323;1628;1631;1635;1823;1879;1936;1966;1971;2093;2116;2541;2634;2636;2640;2859;2865;2881;2954;3005;3075;3084;3086;3227;3304;3354;3404;3622;3628;3639;3648;3779;3896;3913;3956;4008;4028;4089;4103;4104;4105;4159;4284;4403;4561
R00003,"When Temporal Sequential Context is unusual relative to Curvature Geometry and Spatial Reach and Route is unusual relative to Speed Dynamics, Spatial Reach and Route is also unusual relative to Curvature Geometry.",40 of 42 matching trajectories (95.2%) also showed this outcome; this is 7.9× its overall rate.,42,40,0.008565310492505354,0.07079646017699115,0.9523809523809523,7.87189211967973,145.30973451327432,finite,181;300;413;461;662;1085;1086;1199;1372;1435;1518;2038;2079;2087;2179;2254;2583;2585;2800;2839;2891;3018;3073;3133;3176;3469;3598;3694;3703;3705;3738;3865;4052;4138;4176;4189;4198;4215;4397;4504;4530;4601
R00004,"When Spatial Reach and Route is unusual relative to Curvature Geometry and Speed Dynamics is unusual relative to Temporal Sequential Context, Speed Dynamics is also unusual relative to Curvature Geometry.",57 of 60 matching trajectories (95.0%) also showed this outcome; this is 8.0× its overall rate.,60,57,0.012205567451820129,0.10233393177737882,0.95,7.9649910233393175,140.29982046678634,finite,23;29;50;119;124;276;326;606;917;940;978;980;1205;1207;1277;1366;1477;1605;1841;1952;2183;2189;2321;2329;2364;2467;2502;2503;2505;2507;2509;2511;2660;2671;2689;2776;2778;2780;2826;2903;2909;2924;2953;3230;3425;3447;3692;3963;4051;4074;4139;4152;4156;4296;4445;4453;4567;4568;4585;4596
R00005,"When Acceleration Dynamics is unusual relative to Spatial Reach and Route and Speed Dynamics is unusual relative to Curvature Geometry, Acceleration Dynamics is also unusual relative to Curvature Geometry.",50 of 53 matching trajectories (94.3%) also showed this outcome; this is 7.8× its overall rate.,53,50,0.010706638115631691,0.08849557522123894,0.9433962264150944,7.797628986475205,121.0914454277286,finite,57;66;120;245;261;272;274;316;338;349;351;393;549;575;582;587;652;1146;1260;1297;1313;1319;1443;1531;1541;1586;1678;1794;1795;2067;2068;2070;2072;2077;2078;2120;2238;2278;2284;2407;2468;2481;2489;2529;2712;2756;3552;3610;3982;3997;4193;4413;4645
R00006,"When Curvature Geometry is unusual relative to Turning Dynamics and Spatial Reach and Route is unusual relative to Speed Dynamics, Curvature Geometry is also unusual relative to Speed Dynamics.",48 of 51 matching trajectories (94.1%) also showed this outcome; this is 7.8× its overall rate.,51,48,0.010278372591006424,0.0852575488454707,0.9411764705882353,7.806916727614669,116.71758436944938,finite,70;78;207;445;1361;1368;1371;1598;1705;1746;1921;1963;2086;2173;2201;2313;2499;2577;2582;2584;2586;2588;2611;2644;2645;2727;2767;2849;2874;2883;2885;2890;3006;3110;3164;3212;3328;3475;3512;3542;3547;3647;3698;3931;3972;4084;4092;4160;4203;4362;4369
R00007,"When Acceleration Dynamics is unusual relative to Spatial Reach and Route and Curvature Geometry is unusual relative to Speed Dynamics, Acceleration Dynamics is also unusual relative to Speed Dynamics.",60 of 64 matching trajectories (93.8%) also showed this outcome; this is 9.7× its overall rate.,64,60,0.01284796573875803,0.13274336283185842,0.9375,9.686117256637168,139.9778761061947,finite,118;232;238;243;265;268;271;359;500;532;697;773;877;983;992;1182;1191;1213;1217;1239;1420;1465;1500;1599;1628;1637;1641;1722;1879;1907;1970;1971;1977;2002;2009;2093;2097;2406;2633;2636;2729;2880;2881;2910;2955;2990;3139;3227;3317;3400;3404;3623;3626;3839;3936;3956;4028;4101;4103;4104;4272;4390;4561;4608
R00008,"When Acceleration Dynamics is unusual relative to Turning Dynamics and Curvature Geometry is unusual relative to Spatial Reach and Route, Acceleration Dynamics is also unusual relative to Spatial Reach and Route.",55 of 59 matching trajectories (93.2%) also showed this outcome; this is 9.7× its overall rate.,59,55,0.011777301927194861,0.12249443207126949,0.9322033898305084,9.695745724963194,129.2622494432071,finite,118;173;233;240;241;244;265;268;294;299;301;359;557;773;853;901;923;1090;1191;1321;1575;1592;1599;1603;1876;1977;1979;2002;2093;2368;2387;2636;2680;2784;2833;2899;3117;3251;3318;3359;3397;3399;3400;3605;3606;3616;3618;3623;3743;3812;3967;4036;4079;4103;4104;4208;4388;4561;4608
R00009,"When Spatial Reach and Route is unusual relative to Acceleration Dynamics and Curvature Geometry is unusual relative to Speed Dynamics, Curvature Geometry is also unusual relative to Acceleration Dynamics.",55 of 59 matching trajectories (93.2%) also showed this outcome; this is 7.6× its overall rate.,59,55,0.011777301927194861,0.09581881533101046,0.9322033898305084,7.584302840607099,98.11846689895471,finite,434;445;518;705;720;795;855;856;904;999;1001;1105;1359;1371;1495;1596;1600;1624;1715;1746;1848;1897;1963;2101;2276;2479;2532;2576;2577;2584;2588;2655;2687;2734;2748;2813;2849;3000;3006;3201;3233;3328;3434;3438;3441;3512;3544;3547;3642;3734;3948;4010;4014;4084;4092;4141;4203;4369;4404
R00010,"When Acceleration Dynamics is unusual relative to Speed Dynamics and Curvature Geometry is unusual relative to Turning Dynamics, Curvature Geometry is also unusual relative to Speed Dynamics.",53 of 57 matching trajectories (93.0%) also showed this outcome; this is 7.7× its overall rate.,57,53,0.011349036402569594,0.0941385435168739,0.9298245614035088,7.712754354803528,96.65674955595027,finite,118;242;265;268;273;359;865;983;1009;1191;1598;1599;1693;1696;1705;1768;1911;1938;1977;2002;2086;2093;2164;2201;2313;2494;2611;2636;2644;2645;2647;2805;2874;2878;2880;2890;2897;3076;3078;3110;3212;3400;3436;3475;3510;3542;3623;3698;3931;3972;4103;4104;4160;4362;4430;4561;4608
R00011,"When Acceleration Dynamics is unusual relative to Curvature Geometry and Temporal Sequential Context is unusual relative to Spatial Reach and Route, Temporal Sequential Context is also unusual relative to Curvature Geometry.",52 of 56 matching trajectories (92.9%) also showed this outcome; this is 7.5× its overall rate.,56,52,0.01113490364025696,0.0896551724137931,0.9285714285714286,7.476600985221675,91.67241379310346,finite,17;57;66;120;165;264;274;314;318;336;338;341;342;344;349;393;575;582;601;649;652;891;998;1000;1146;1407;1794;1974;1986;2067;2068;2069;2070;2072;2075;2078;2120;2407;2481;2495;2497;2564;2571;2575;2624;2626;2628;2756;2845;2876;3099;3953;4275;4391;4454;4556
