item_a,item_b,count_a,count_b,count_ab,support_a,support_b,support_ab,confidence_a_to_b,confidence_b_to_a,lift,jaccard
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Hybrid,2362,2449,1644,0.5057815845824412,0.5244111349036402,0.35203426124197,0.6960203217612193,0.671294405879951,1.3272416915577354,0.5191032522892327
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Normal,2362,1378,344,0.5057815845824412,0.29507494646680943,0.07366167023554604,0.14563928873835733,0.24963715529753266,0.4935671106009642,0.10129564193168433
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics,2362,449,311,0.5057815845824412,0.0961456102783726,0.06659528907922913,0.13166807790008467,0.6926503340757239,1.3694653091166935,0.1244
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,2362,394,63,0.5057815845824412,0.08436830835117773,0.013490364025695931,0.026672311600338696,0.1598984771573604,0.316141358308583,0.023393984404010398
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Hybrid,2362,2457,1673,0.5057815845824412,0.5261241970021413,0.3582441113490364,0.7082980524978831,0.6809116809116809,1.3462563716585731,0.5317863954227591
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Normal,2362,1304,303,0.5057815845824412,0.2792291220556745,0.06488222698072806,0.12828111769686706,0.23236196319018404,0.45941167150641804,0.09009812667261374
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Acceleration_Dynamics,2362,452,308,0.5057815845824412,0.09678800856531049,0.06595289079229122,0.13039796782387808,0.6814159292035398,1.3472533401272357,0.12290502793296089
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics,2362,457,78,0.5057815845824412,0.09785867237687366,0.01670235546038544,0.03302286198137172,0.17067833698030635,0.33745462900001294,0.028456767603064575
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Hybrid,2362,2415,1612,0.5057815845824412,0.5171306209850107,0.34518201284796574,0.6824724809483489,0.6674948240165631,1.3197293938007408,0.5093206951026856
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Normal,2362,1304,331,0.5057815845824412,0.2792291220556745,0.07087794432548179,0.1401354784081287,0.25383435582822084,0.5018655553419946,0.0992503748125937
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics,2362,477,340,0.5057815845824412,0.10214132762312633,0.0728051391862955,0.14394580863674852,0.7127882599580713,1.409280767995001,0.1360544217687075
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2362,474,79,0.5057815845824412,0.10149892933618844,0.016916488222698072,0.03344623200677392,0.16666666666666666,0.32952300310471344,0.028654334421472614
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Turning_Dynamics=Hybrid,2362,2355,1560,0.5057815845824412,0.5042826552462527,0.3340471092077088,0.6604572396274344,0.6624203821656051,1.309696521893893,0.4941400063351283
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Turning_Dynamics=Normal,2362,1153,315,0.5057815845824412,0.2468950749464668,0.06745182012847965,0.13336155800169347,0.2732003469210755,0.5401547926000941,0.0984375
