pair_id,n_trajectories,n_missing,n_normal,n_hybrid,n_uncommon_total,pct_normal,pct_hybrid,pct_uncommon_total,entropy,non_normal_ratio,dominant_label,dominant_label_ratio,count__Normal,count__Hybrid,count__Uncommon_Acceleration_Dynamics,count__Uncommon_Curvature_Geometry,count__Uncommon_Spatial_Reach_and_Route,count__Uncommon_Speed_Dynamics,count__Uncommon_Temporal_Sequential_Context,count__Uncommon_Turning_Dynamics
Acceleration_Dynamics__x__Curvature_Geometry,4670,0,1169,2362,1139,0.25032119914346895,0.5057815845824412,0.24389721627408995,1.7379479609029391,0.749678800856531,Hybrid,0.5057815845824412,1169,2362,565,574,0,0,0,0
Acceleration_Dynamics__x__Spatial_Reach_and_Route,4670,0,1378,2449,843,0.29507494646680943,0.5244111349036402,0.18051391862955032,1.6337247756517819,0.7049250535331906,Hybrid,0.5244111349036402,1378,2449,449,0,394,0,0,0
Acceleration_Dynamics__x__Speed_Dynamics,4670,0,1304,2457,909,0.2792291220556745,0.5261241970021413,0.19464668094218415,1.65559924569459,0.7207708779443255,Hybrid,0.5261241970021413,1304,2457,452,0,0,457,0,0
Acceleration_Dynamics__x__Temporal_Sequential_Context,4670,0,1304,2415,951,0.2792291220556745,0.5171306209850107,0.20364025695931479,1.6770905295325487,0.7207708779443255,Hybrid,0.5171306209850107,1304,2415,477,0,0,0,474,0
Acceleration_Dynamics__x__Turning_Dynamics,4670,0,1153,2355,1162,0.2468950749464668,0.5042826552462527,0.2488222698072805,1.7444047151262403,0.7531049250535332,Hybrid,0.5042826552462527,1153,2355,593,0,0,0,0,569
Curvature_Geometry__x__Spatial_Reach_and_Route,4670,0,1194,2354,1122,0.2556745182012848,0.5040685224839401,0.24025695931477517,1.7357860646644734,0.7443254817987152,Hybrid,0.5040685224839401,1194,2354,0,557,565,0,0,0
Curvature_Geometry__x__Speed_Dynamics,4670,0,1199,2351,1120,0.25674518201284796,0.5034261241970022,0.2398286937901499,1.735947953264803,0.743254817987152,Hybrid,0.5034261241970022,1199,2351,0,563,0,557,0,0
Curvature_Geometry__x__Temporal_Sequential_Context,4670,0,1159,2353,1158,0.2481798715203426,0.5038543897216274,0.24796573875803,1.7440678821123716,0.7518201284796574,Hybrid,0.5038543897216274,1159,2353,0,578,0,0,580,0
Curvature_Geometry__x__Turning_Dynamics,4670,0,1160,2376,1134,0.24839400428265523,0.5087794432548179,0.24282655246252677,1.7335154049625228,0.7516059957173448,Hybrid,0.5087794432548179,1160,2376,0,545,0,0,0,589
Spatial_Reach_and_Route__x__Speed_Dynamics,4670,0,1319,2455,896,0.28244111349036405,0.525695931477516,0.19186295503211992,1.6514304202076115,0.717558886509636,Hybrid,0.525695931477516,1319,2455,0,0,428,468,0,0
Spatial_Reach_and_Route__x__Temporal_Sequential_Context,4670,0,1298,2399,973,0.2779443254817987,0.5137044967880086,0.2083511777301927,1.6868880137803712,0.7220556745182013,Hybrid,0.5137044967880086,1298,2399,0,0,483,0,490,0
Spatial_Reach_and_Route__x__Turning_Dynamics,4670,0,1164,2314,1192,0.24925053533190578,0.4955032119914347,0.2552462526766595,1.7596286272466524,0.7507494646680942,Hybrid,0.4955032119914347,1164,2314,0,0,599,0,0,593
Speed_Dynamics__x__Temporal_Sequential_Context,4670,0,1241,2430,999,0.2657387580299786,0.5203426124197003,0.2139186295503212,1.6878327182182244,0.7342612419700214,Hybrid,0.5203426124197003,1241,2430,0,0,0,528,471,0
Speed_Dynamics__x__Turning_Dynamics,4670,0,1177,2336,1157,0.25203426124197004,0.5002141327623126,0.24775160599571736,1.7471635121417546,0.74796573875803,Hybrid,0.5002141327623126,1177,2336,0,0,0,553,0,604
Temporal_Sequential_Context__x__Turning_Dynamics,4670,0,1121,2312,1237,0.24004282655246253,0.49507494646680944,0.26488222698072805,1.7688273842361002,0.7599571734475374,Hybrid,0.49507494646680944,1121,2312,0,0,0,0,626,611
