meta_pattern_id,trajectory_id,required_uncommon_counts,observed_uncommon_counts
MP00001,5,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,18,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,118,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=4;Curvature_Geometry=4
MP00001,173,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=1
MP00001,211,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,213,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,232,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,233,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,238,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,240,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,241,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,242,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,243,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,244,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,265,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,268,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=4;Curvature_Geometry=4
MP00001,271,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,273,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,294,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,299,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,301,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,304,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,306,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,359,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=4;Curvature_Geometry=4
MP00001,401,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,420,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,500,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,502,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,532,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,557,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,581,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,585,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=3
MP00001,590,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,591,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,697,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,773,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=4;Curvature_Geometry=3
MP00001,841,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,845,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,853,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,865,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,872,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,877,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,901,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,983,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=3
MP00001,992,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,1009,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=1
MP00001,1059,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=3
MP00001,1090,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,1182,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00001,1191,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
MP00001,1213,Acceleration_Dynamics>=2;Curvature_Geometry>=1,Acceleration_Dynamics=3;Curvature_Geometry=3
