rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00001,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,Curvature_Geometry__x__Speed_Dynamics,Uncommon Curvature_Geometry,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry;Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,1551,155,25,0.016118633139909737,0.16129032258064516,26,0.016763378465506126,0.9615384615384616,0.09993552546744036,9.621588089330025,225.16129032258064,finite,0.014443376104349807
R00002,Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,Curvature_Geometry__x__Turning_Dynamics,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry,2,1551,181,20,0.012894906511927788,0.11049723756906077,21,0.013539651837524178,0.9523809523809523,0.11669890393294649,8.161010260457774,151.38121546961327,finite,0.01131484398285501
R00003,Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,Curvature_Geometry__x__Turning_Dynamics,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,2,1551,181,20,0.012894906511927788,0.11049723756906077,21,0.013539651837524178,0.9523809523809523,0.11669890393294649,8.161010260457774,151.38121546961327,finite,0.01131484398285501
R00004,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,1551,195,20,0.012894906511927788,0.10256410256410256,21,0.013539651837524178,0.9523809523809523,0.12572533849129594,7.575091575091575,139.07692307692307,finite,0.011192629201600763
R00005,Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Temporal_Sequential_Context,Temporal_Sequential_Context__x__Turning_Dynamics,Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,1551,184,21,0.013539651837524178,0.11413043478260869,23,0.014829142488716958,0.9130434782608695,0.11863313990973566,7.696361058601133,78.00815217391303,finite,0.011780424101918813
R00006,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,1551,195,20,0.012894906511927788,0.10256410256410256,22,0.014184397163120567,0.9090909090909091,0.12572533849129594,7.230769230769231,69.53846153846153,finite,0.011111568377299477
R00007,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,Curvature_Geometry__x__Temporal_Sequential_Context,Uncommon Curvature_Geometry,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,1551,125,25,0.016118633139909737,0.2,28,0.018052869116698903,0.8928571428571429,0.08059316569954868,11.07857142857143,95.06666666666668,finite,0.014663695267835357
R00008,Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Speed_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,1551,183,25,0.016118633139909737,0.1366120218579235,28,0.018052869116698903,0.8928571428571429,0.11798839458413926,7.567330210772834,62.29508196721312,finite,0.013988604095192845
R00009,Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,Temporal_Sequential_Context__x__Turning_Dynamics,Uncommon Turning_Dynamics,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry;Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,1551,209,23,0.014829142488716958,0.11004784688995216,26,0.016763378465506126,0.8846153846153846,0.1347517730496454,6.564777327935222,49.228070175438596,finite,0.012570247518187763
R00010,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,2,1551,189,21,0.013539651837524178,0.1111111111111111,24,0.015473887814313346,0.875,0.1218568665377176,7.180555555555555,50.444444444444436,finite,0.011654052355315782
