rule_id,antecedent_items,consequent_items,antecedent_length,consequent_length,itemset_length,support_count,support_ratio,antecedent_support_count,antecedent_support_ratio,consequent_support_count,consequent_support_ratio,confidence,lift,leverage
RAW-FP-R00001,duration_total_seconds=high,sampling_gap_mean_seconds=high,1,1,2,516,0.33268858800773693,516,0.33268858800773693,516,0.33268858800773693,1.0,3.005813953488372,0.2220068914171552
RAW-FP-R00002,sampling_gap_mean_seconds=high,duration_total_seconds=high,1,1,2,516,0.33268858800773693,516,0.33268858800773693,516,0.33268858800773693,1.0,3.005813953488372,0.2220068914171552
RAW-FP-R00003,acceleration_meanse=high,acceleration_sd=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00004,acceleration_meanse=low,acceleration_sd=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00005,acceleration_meanse=medium,acceleration_sd=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00006,acceleration_sd=high,acceleration_meanse=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00007,acceleration_sd=low,acceleration_meanse=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00008,acceleration_sd=medium,acceleration_meanse=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00009,angles_meanse=high,angles_sd=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00010,angles_meanse=low,angles_sd=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00011,angles_meanse=medium,angles_sd=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00012,angles_sd=high,angles_meanse=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00013,angles_sd=low,angles_meanse=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00014,angles_sd=medium,angles_meanse=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00015,bbox_height_m=high,bbox_lat_span_deg=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00016,bbox_height_m=low,bbox_lat_span_deg=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00017,bbox_height_m=medium,bbox_lat_span_deg=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00018,bbox_lat_span_deg=high,bbox_height_m=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00019,bbox_lat_span_deg=low,bbox_height_m=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00020,bbox_lat_span_deg=medium,bbox_height_m=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00021,directness_ratio=high,distance_geometry_1_1=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00022,directness_ratio=low,distance_geometry_1_1=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00023,directness_ratio=medium,distance_geometry_1_1=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00024,distance_geometry_1_1=high,directness_ratio=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00025,distance_geometry_1_1=low,directness_ratio=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00026,distance_geometry_1_1=medium,directness_ratio=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00027,duration_total_seconds=low,sampling_gap_mean_seconds=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00028,sampling_gap_mean_seconds=low,duration_total_seconds=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00029,speed_meanse=high,speed_sd=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00030,speed_meanse=low,speed_sd=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00031,speed_meanse=medium,speed_sd=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00032,speed_sd=high,speed_meanse=high,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00033,speed_sd=low,speed_meanse=low,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00034,speed_sd=medium,speed_meanse=medium,1,1,2,517,0.3333333333333333,517,0.3333333333333333,517,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00035,duration_total_seconds=medium,sampling_gap_mean_seconds=medium,1,1,2,518,0.3339780786589297,518,0.3339780786589297,518,0.3339780786589297,1.0,2.9942084942084946,0.22243672163421946
RAW-FP-R00036,sampling_gap_mean_seconds=medium,duration_total_seconds=medium,1,1,2,518,0.3339780786589297,518,0.3339780786589297,518,0.3339780786589297,1.0,2.9942084942084946,0.22243672163421946
