feature,bin_label,lower_bound,upper_bound,lower_inclusive,upper_inclusive,n_non_missing,n_missing,status
distance_geometry_1_1,low,-inf,0.0013621241829044853,true,true,1551,0,used
distance_geometry_1_1,medium,0.0013621241829044853,0.0037348448387948953,false,true,1551,0,used
distance_geometry_1_1,high,0.0037348448387948953,inf,false,true,1551,0,used
distance_geometry_2_1,low,-inf,0.023098730747369504,true,true,1551,0,used
distance_geometry_2_1,medium,0.023098730747369504,0.0645513917910626,false,true,1551,0,used
distance_geometry_2_1,high,0.0645513917910626,inf,false,true,1551,0,used
distance_geometry_2_2,low,-inf,0.02446472436288017,true,true,1551,0,used
distance_geometry_2_2,medium,0.02446472436288017,0.06693233715291626,false,true,1551,0,used
distance_geometry_2_2,high,0.06693233715291626,inf,false,true,1551,0,used
distance_geometry_3_1,low,-inf,0.034652257468548046,true,true,1551,0,used
distance_geometry_3_1,medium,0.034652257468548046,0.08797101528579414,false,true,1551,0,used
distance_geometry_3_1,high,0.08797101528579414,inf,false,true,1551,0,used
distance_geometry_3_2,low,-inf,0.07327313853352634,true,true,1551,0,used
distance_geometry_3_2,medium,0.07327313853352634,0.15620342041274318,false,true,1551,0,used
distance_geometry_3_2,high,0.15620342041274318,inf,false,true,1551,0,used
distance_geometry_3_3,low,-inf,0.04102927622542532,true,true,1551,0,used
distance_geometry_3_3,medium,0.04102927622542532,0.10385334604287935,false,true,1551,0,used
distance_geometry_3_3,high,0.10385334604287935,inf,false,true,1551,0,used
distance_geometry_4_1,low,-inf,0.05369642978277687,true,true,1551,0,used
distance_geometry_4_1,medium,0.05369642978277687,0.1313503200496109,false,true,1551,0,used
distance_geometry_4_1,high,0.1313503200496109,inf,false,true,1551,0,used
distance_geometry_4_2,low,-inf,0.09967887063158878,true,true,1551,0,used
distance_geometry_4_2,medium,0.09967887063158878,0.1959832004611544,false,true,1551,0,used
distance_geometry_4_2,high,0.1959832004611544,inf,false,true,1551,0,used
distance_geometry_4_3,low,-inf,0.06856291969682458,true,true,1551,0,used
distance_geometry_4_3,medium,0.06856291969682458,0.15013196073186524,false,true,1551,0,used
distance_geometry_4_3,high,0.15013196073186524,inf,false,true,1551,0,used
distance_geometry_4_4,low,-inf,0.008371121371605344,true,true,1551,0,used
distance_geometry_4_4,medium,0.008371121371605344,0.027044930772173563,false,true,1551,0,used
distance_geometry_4_4,high,0.027044930772173563,inf,false,true,1551,0,used
distance_geometry_5_1,low,-inf,0.08772419451076945,true,true,1551,0,used
distance_geometry_5_1,medium,0.08772419451076945,0.20199217757539575,false,true,1551,0,used
distance_geometry_5_1,high,0.20199217757539575,inf,false,true,1551,0,used
distance_geometry_5_2,low,-inf,0.11776644171836709,true,true,1551,0,used
distance_geometry_5_2,medium,0.11776644171836709,0.2343033927445161,false,true,1551,0,used
distance_geometry_5_2,high,0.2343033927445161,inf,false,true,1551,0,used
distance_geometry_5_3,low,-inf,0.09862580628904266,true,true,1551,0,used
distance_geometry_5_3,medium,0.09862580628904266,0.20185886536219147,false,true,1551,0,used
distance_geometry_5_3,high,0.20185886536219147,inf,false,true,1551,0,used
distance_geometry_5_4,low,-inf,0.11904044783449426,true,true,1551,0,used
distance_geometry_5_4,medium,0.11904044783449426,0.23965168969933393,false,true,1551,0,used
distance_geometry_5_4,high,0.23965168969933393,inf,false,true,1551,0,used
distance_geometry_5_5,low,-inf,0.07945279209917709,true,true,1551,0,used
distance_geometry_5_5,medium,0.07945279209917709,0.19280548323647428,false,true,1551,0,used
distance_geometry_5_5,high,0.19280548323647428,inf,false,true,1551,0,used
angles_0s,,0.0,0.0,true,true,1551,0,dropped_constant
angles_mean,low,-inf,69.6675522619358,true,true,1551,0,used
angles_mean,medium,69.6675522619358,74.62790809534043,false,true,1551,0,used
angles_mean,high,74.62790809534043,inf,false,true,1551,0,used
angles_meanse,low,-inf,8.50822190381129,true,true,1551,0,used
angles_meanse,medium,8.50822190381129,9.077281753340623,false,true,1551,0,used
angles_meanse,high,9.077281753340623,inf,false,true,1551,0,used
angles_quant_min,low,-inf,0.19259319605134445,true,true,1551,0,used
angles_quant_min,medium,0.19259319605134445,0.65759666107286,false,true,1551,0,used
angles_quant_min,high,0.65759666107286,inf,false,true,1551,0,used
angles_quant_05,low,-inf,1.4707565319891434,true,true,1551,0,used
angles_quant_05,medium,1.4707565319891434,2.6509746985005087,false,true,1551,0,used
angles_quant_05,high,2.6509746985005087,inf,false,true,1551,0,used
angles_quant_10,low,-inf,2.916569612103098,true,true,1551,0,used
angles_quant_10,medium,2.916569612103098,4.873926917873171,false,true,1551,0,used
angles_quant_10,high,4.873926917873171,inf,false,true,1551,0,used
angles_quant_25,low,-inf,9.490878152091964,true,true,1551,0,used
angles_quant_25,medium,9.490878152091964,14.223222805216713,false,true,1551,0,used
angles_quant_25,high,14.223222805216713,inf,false,true,1551,0,used
angles_quant_median,low,-inf,40.14143821293719,true,true,1551,0,used
angles_quant_median,medium,40.14143821293719,53.60467729518461,false,true,1551,0,used
angles_quant_median,high,53.60467729518461,inf,false,true,1551,0,used
angles_quant_75,low,-inf,132.5547068287212,true,true,1551,0,used
angles_quant_75,medium,132.5547068287212,146.0240985189374,false,true,1551,0,used
angles_quant_75,high,146.0240985189374,inf,false,true,1551,0,used
angles_quant_90,low,-inf,165.89890824829976,true,true,1551,0,used
angles_quant_90,medium,165.89890824829976,171.10657102559108,false,true,1551,0,used
angles_quant_90,high,171.10657102559108,inf,false,true,1551,0,used
angles_quant_95,low,-inf,173.0656719743049,true,true,1551,0,used
angles_quant_95,medium,173.0656719743049,175.86718836363565,false,true,1551,0,used
angles_quant_95,high,175.86718836363565,inf,false,true,1551,0,used
