itemset_id,items,itemset_length,support_count,support_ratio
RAW-FP-I00001,sampling_gap_iqr_seconds=medium,1,883,0.5693101225016118
RAW-FP-I00002,relative_grid_revisit_ratio_3x3=low,1,840,0.5415860735009671
RAW-FP-I00003,relative_grid_unique_cells_3x3=low,1,711,0.4584139264990329
RAW-FP-I00004,sampling_gap_iqr_seconds=low,1,657,0.42359767891682787
RAW-FP-I00005,sampling_gap_sd_seconds=low,1,623,0.4016763378465506
RAW-FP-I00006,duration_total_seconds=medium,1,518,0.3339780786589297
RAW-FP-I00007,sampling_gap_mean_seconds=medium,1,518,0.3339780786589297
RAW-FP-I00008,acceleration_iqr=high,1,517,0.3333333333333333
RAW-FP-I00009,acceleration_iqr=low,1,517,0.3333333333333333
RAW-FP-I00010,acceleration_iqr=medium,1,517,0.3333333333333333
RAW-FP-I00011,acceleration_kurt=high,1,517,0.3333333333333333
RAW-FP-I00012,acceleration_kurt=low,1,517,0.3333333333333333
RAW-FP-I00013,acceleration_kurt=medium,1,517,0.3333333333333333
RAW-FP-I00014,acceleration_mad=high,1,517,0.3333333333333333
RAW-FP-I00015,acceleration_mad=low,1,517,0.3333333333333333
RAW-FP-I00016,acceleration_mad=medium,1,517,0.3333333333333333
RAW-FP-I00017,acceleration_mean=high,1,517,0.3333333333333333
RAW-FP-I00018,acceleration_mean=low,1,517,0.3333333333333333
RAW-FP-I00019,acceleration_mean=medium,1,517,0.3333333333333333
RAW-FP-I00020,acceleration_mean_first_half=high,1,517,0.3333333333333333
RAW-FP-I00021,acceleration_mean_first_half=low,1,517,0.3333333333333333
RAW-FP-I00022,acceleration_mean_first_half=medium,1,517,0.3333333333333333
RAW-FP-I00023,acceleration_mean_half_diff=high,1,517,0.3333333333333333
RAW-FP-I00024,acceleration_mean_half_diff=low,1,517,0.3333333333333333
RAW-FP-I00025,acceleration_mean_half_diff=medium,1,517,0.3333333333333333
RAW-FP-I00026,acceleration_mean_second_half=high,1,517,0.3333333333333333
RAW-FP-I00027,acceleration_mean_second_half=low,1,517,0.3333333333333333
RAW-FP-I00028,acceleration_mean_second_half=medium,1,517,0.3333333333333333
