pair_id,n_trajectories,n_missing,n_normal,n_hybrid,n_uncommon_total,pct_normal,pct_hybrid,pct_uncommon_total,entropy,non_normal_ratio,dominant_label,dominant_label_ratio,count__Normal,count__Hybrid,count__Uncommon_Acceleration,count__Uncommon_Curvature,count__Uncommon_Displacement,count__Uncommon_Duration,count__Uncommon_Extent,count__Uncommon_Geometric,count__Uncommon_Indentation,count__Uncommon_Kinematic,count__Uncommon_Localization,count__Uncommon_Path_Evolution,count__Uncommon_Phase_Change,count__Uncommon_Sampling_Gaps,count__Uncommon_Sequence_Complexity,count__Uncommon_Spatial_Context,count__Uncommon_SpatioTemporal_Dynamics,count__Uncommon_Speed,count__Uncommon_Temporal
Acceleration__x__Curvature,1551,0,446,833,272,0.2875564152159897,0.5370728562217923,0.17537072856221791,1.6142743256864318,0.7124435847840103,Hybrid,0.5370728562217923,446,833,142,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Displacement,1551,0,441,837,273,0.28433268858800775,0.539651837524178,0.1760154738878143,1.612880692407595,0.7156673114119922,Hybrid,0.539651837524178,441,837,144,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Duration,1551,0,410,791,350,0.26434558349451964,0.5099935525467441,0.2256608639587363,1.7129824077163225,0.7356544165054804,Hybrid,0.5099935525467441,410,791,169,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Extent,1551,0,442,817,292,0.28497743391360414,0.5267569310122502,0.1882656350741457,1.6446763839126621,0.7150225660863959,Hybrid,0.5267569310122502,442,817,154,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Indentation,1551,0,395,772,384,0.2546744036105738,0.4977433913604126,0.24758220502901354,1.7497082739758854,0.7453255963894262,Hybrid,0.4977433913604126,395,772,189,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Localization,1551,0,451,833,267,0.2907801418439716,0.5370728562217923,0.172147001934236,1.6081590217375108,0.7092198581560284,Hybrid,0.5370728562217923,451,833,144,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
Acceleration__x__Path_Evolution,1551,0,481,864,206,0.31012250161186333,0.5570599613152805,0.13281753707285623,1.513456994169829,0.6898774983881367,Hybrid,0.5570599613152805,481,864,108,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
Acceleration__x__Phase_Change,1551,0,490,890,171,0.3159252095422308,0.5738233397807866,0.1102514506769826,1.4457489432962898,0.6840747904577692,Hybrid,0.5738233397807866,490,890,90,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
Acceleration__x__Sampling_Gaps,1551,0,402,802,347,0.25918762088974856,0.5170857511283043,0.22372662798194712,1.7038848518894576,0.7408123791102514,Hybrid,0.5170857511283043,402,802,176,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0
Acceleration__x__Sequence_Complexity,1551,0,389,771,391,0.2508059316569955,0.49709864603481624,0.25209542230818827,1.7549118148073557,0.7491940683430045,Hybrid,0.49709864603481624,389,771,199,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0
Acceleration__x__Speed,1551,0,464,880,207,0.29916183107672467,0.5673758865248227,0.13346228239845262,1.505705481825988,0.7008381689232753,Hybrid,0.5673758865248227,464,880,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0
Curvature__x__Displacement,1551,0,427,850,274,0.2753062540296583,0.5480335267569311,0.1766602192134107,1.6062414203443494,0.7246937459703418,Hybrid,0.5480335267569311,427,850,0,140,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curvature__x__Duration,1551,0,389,810,352,0.2508059316569955,0.5222437137330754,0.22695035460992907,1.7023343555989274,0.7491940683430045,Hybrid,0.5222437137330754,389,810,0,172,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0
Curvature__x__Extent,1551,0,425,798,328,0.27401676337846553,0.5145067698259188,0.21147646679561574,1.6905121178046383,0.7259832366215345,Hybrid,0.5145067698259188,425,798,0,166,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
Curvature__x__Indentation,1551,0,387,801,363,0.2495164410058027,0.5164410058027079,0.23404255319148937,1.7164629387566024,0.7504835589941973,Hybrid,0.5164410058027079,387,801,0,181,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0
Curvature__x__Localization,1551,0,447,802,302,0.28820116054158607,0.5170857511283043,0.1947130883301096,1.6635481921874504,0.7117988394584139,Hybrid,0.5170857511283043,447,802,0,155,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0
Curvature__x__Path_Evolution,1551,0,438,809,304,0.28239845261121854,0.521598968407479,0.19600257898130238,1.6616423821664834,0.7176015473887815,Hybrid,0.521598968407479,438,809,0,156,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0
Curvature__x__Phase_Change,1551,0,454,821,276,0.2927143778207608,0.5293359123146357,0.17794970986460348,1.6250636625817143,0.7072856221792392,Hybrid,0.5293359123146357,454,821,0,148,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0
Curvature__x__Sampling_Gaps,1551,0,399,777,375,0.2572533849129594,0.5009671179883946,0.24177949709864605,1.7404325081580092,0.7427466150870407,Hybrid,0.5009671179883946,399,777,0,185,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0
Curvature__x__Sequence_Complexity,1551,0,422,795,334,0.2720825274016763,0.5125725338491296,0.21534493874919408,1.697452273611138,0.7279174725983236,Hybrid,0.5125725338491296,422,795,0,171,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0
Curvature__x__Speed,1551,0,415,808,328,0.2675693101225016,0.5209542230818827,0.21147646679561574,1.6840465637831317,0.7324306898774984,Hybrid,0.5209542230818827,415,808,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0
Displacement__x__Duration,1551,0,393,784,374,0.25338491295938104,0.5054803352675693,0.24113475177304963,1.7352692400659016,0.746615087040619,Hybrid,0.5054803352675693,393,784,0,0,191,183,0,0,0,0,0,0,0,0,0,0,0,0,0
Displacement__x__Extent,1551,0,442,842,267,0.28497743391360414,0.5428755641521599,0.172147001934236,1.603158595777971,0.7150225660863959,Hybrid,0.5428755641521599,442,842,0,0,125,0,142,0,0,0,0,0,0,0,0,0,0,0,0
Displacement__x__Indentation,1551,0,401,808,342,0.2585428755641522,0.5209542230818827,0.2205029013539652,1.6960947028065334,0.7414571244358479,Hybrid,0.5209542230818827,401,808,0,0,170,0,0,0,172,0,0,0,0,0,0,0,0,0,0
Displacement__x__Localization,1551,0,436,835,280,0.28110896196002577,0.5383623468729851,0.18052869116698905,1.6219540380544188,0.7188910380399742,Hybrid,0.5383623468729851,436,835,0,0,142,0,0,0,0,0,138,0,0,0,0,0,0,0,0
Displacement__x__Path_Evolution,1551,0,438,809,304,0.28239845261121854,0.521598968407479,0.19600257898130238,1.6616423821664834,0.7176015473887815,Hybrid,0.521598968407479,438,809,0,0,148,0,0,0,0,0,0,156,0,0,0,0,0,0,0
Displacement__x__Phase_Change,1551,0,442,849,260,0.28497743391360414,0.5473887814313346,0.16763378465506126,1.591206941345658,0.7150225660863959,Hybrid,0.5473887814313346,442,849,0,0,123,0,0,0,0,0,0,0,137,0,0,0,0,0,0
