trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
1,76,11,36,29,65,0.8552631578947368,0.47368421052631576,0.3815789473684211,Sampling_Gaps,5,0.1724137931034483,2.5457630758535297,0,0,0,5,5,2,5,0,2,0,0,5,0,0,0,3,2
2,76,34,17,25,42,0.5526315789473685,0.2236842105263158,0.32894736842105265,Sampling_Gaps,8,0.32,2.2319341923129175,0,3,0,8,2,0,0,0,0,0,0,8,0,0,0,0,4
3,76,24,22,30,52,0.6842105263157895,0.2894736842105263,0.39473684210526316,Sampling_Gaps,7,0.23333333333333334,2.539296770118566,0,4,0,7,0,3,7,0,0,0,0,7,0,0,0,0,2
4,76,24,29,23,52,0.6842105263157895,0.3815789473684211,0.3026315789473684,Sampling_Gaps,7,0.30434782608695654,2.2683704567154566,0,0,1,6,0,0,5,0,1,0,0,7,0,0,0,0,3
5,76,22,24,30,54,0.7105263157894737,0.3157894736842105,0.39473684210526316,Sampling_Gaps,7,0.23333333333333334,2.557544427327946,0,0,0,7,6,1,6,0,0,0,0,7,0,1,0,0,2
6,76,11,47,18,65,0.8552631578947368,0.618421052631579,0.23684210526315788,Sampling_Gaps,5,0.2777777777777778,2.0066287663023634,1,1,0,5,1,0,0,1,0,1,0,5,0,1,0,1,1
7,76,25,39,12,51,0.6710526315789473,0.5131578947368421,0.15789473684210525,Speed,3,0.25,1.794088647831925,0,0,1,3,3,0,0,0,0,0,0,2,0,0,0,3,0
8,76,27,32,17,49,0.6447368421052632,0.42105263157894735,0.2236842105263158,Indentation,6,0.35294117647058826,2.018960242824276,0,0,3,0,0,3,6,0,0,0,0,0,1,0,0,4,0
9,76,1,64,11,75,0.9868421052631579,0.8421052631578947,0.14473684210526316,Sequence_Complexity,2,0.18181818181818182,1.063716987127796,0,2,2,1,0,0,2,0,0,2,0,0,2,0,0,0,0
10,76,38,27,11,38,0.5,0.35526315789473684,0.14473684210526316,Duration,5,0.45454545454545453,1.7030216115527077,0,0,2,5,0,0,0,0,0,0,0,2,2,0,0,0,0
11,76,18,41,17,58,0.7631578947368421,0.5394736842105263,0.2236842105263158,Localization,5,0.29411764705882354,1.9968379056553835,0,2,0,0,0,0,4,0,5,0,3,2,0,0,0,1,0
12,76,7,55,14,69,0.9078947368421053,0.7236842105263158,0.18421052631578946,Temporal,2,0.14285714285714285,1.700213451624381,1,0,1,2,1,0,0,2,0,0,1,2,0,0,1,1,2
13,76,13,51,12,63,0.8289473684210527,0.6710526315789473,0.15789473684210525,Displacement,3,0.25,1.6307014110658562,0,3,3,0,1,2,0,0,0,0,0,2,0,1,0,0,0
