rule_id,target_item,antecedent_items,antecedent_nodes,target_nodes,antecedent_feature_count,comparison_feature_count,n_remaining_fingerprint_pairs,n_rule_positive,n_counterexample_candidates,n_counterexample_pairs,mean_counterexample_fingerprint_similarity,mean_counterexample_label_mismatch_count,status
R00001,Acceleration__x__Indentation=Uncommon Acceleration,Geometric__x__Kinematic=Uncommon Kinematic;Indentation__x__Sampling_Gaps=Uncommon Sampling_Gaps,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76,73,30,1,30,0.5310502283105023,34.233333333333334,matched
R00002,Localization__x__Path_Evolution=Uncommon Path_Evolution,Localization__x__Phase_Change=Uncommon Phase_Change;Spatial_Context__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,Localization;Phase_Change;Spatial_Context;SpatioTemporal_Dynamics,Localization;Path_Evolution,26,26,73,29,2,58,0.466461974492206,38.94827586206897,matched
R00003,Localization__x__Path_Evolution=Uncommon Path_Evolution,Geometric__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics;Localization__x__Phase_Change=Uncommon Phase_Change,Geometric;SpatioTemporal_Dynamics;Localization;Phase_Change,Localization;Path_Evolution,51,51,73,28,2,56,0.46966731898238745,38.714285714285715,matched
R00004,Localization__x__Sampling_Gaps=Uncommon Localization,Extent__x__Sampling_Gaps=Uncommon Extent;Sequence_Complexity__x__Speed=Uncommon Speed,Extent;Sampling_Gaps;Sequence_Complexity;Speed,Localization;Sampling_Gaps,33,37,73,28,2,56,0.4486301369863014,40.25,matched
R00005,Displacement__x__Path_Evolution=Uncommon Path_Evolution,Displacement__x__Phase_Change=Uncommon Phase_Change;Geometric__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,Displacement;Phase_Change;Geometric;SpatioTemporal_Dynamics,Displacement;Path_Evolution,50,50,73,25,2,50,0.3547945205479451,47.1,matched
R00006,Duration__x__Path_Evolution=Uncommon Path_Evolution,Acceleration__x__Duration=Uncommon Acceleration;Phase_Change__x__Sequence_Complexity=Uncommon Phase_Change,Acceleration;Duration;Phase_Change;Sequence_Complexity,Duration;Path_Evolution,31,34,73,36,3,108,0.5276509386098427,34.48148148148148,matched
R00007,Geometric__x__Kinematic=Uncommon Kinematic,Acceleration__x__Indentation=Uncommon Acceleration;Geometric__x__Temporal=Uncommon Temporal,Acceleration;Indentation;Geometric;Temporal,Geometric;Kinematic,65,84,73,35,3,105,0.5166340508806262,35.285714285714285,matched
R00008,Extent__x__Path_Evolution=Uncommon Path_Evolution,Extent__x__Phase_Change=Uncommon Phase_Change;Spatial_Context__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,Extent;Phase_Change;Spatial_Context;SpatioTemporal_Dynamics,Extent;Path_Evolution,26,26,73,34,3,102,0.39820037604082725,43.931372549019606,matched
R00009,Displacement__x__Path_Evolution=Uncommon Path_Evolution,Displacement__x__Phase_Change=Uncommon Phase_Change;Spatial_Context__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,Displacement;Phase_Change;Spatial_Context;SpatioTemporal_Dynamics,Displacement;Path_Evolution,26,26,73,31,3,93,0.3903373103549861,44.505376344086024,matched
R00010,Duration__x__Path_Evolution=Uncommon Path_Evolution,Duration__x__Phase_Change=Uncommon Phase_Change;Localization__x__Sequence_Complexity=Uncommon Localization,Duration;Phase_Change;Localization;Sequence_Complexity,Duration;Path_Evolution,16,19,73,30,3,90,0.5788432267884321,30.744444444444444,matched
R00011,Duration__x__Path_Evolution=Uncommon Path_Evolution,Duration__x__Phase_Change=Uncommon Phase_Change;Sequence_Complexity__x__Speed=Uncommon Speed,Duration;Phase_Change;Sequence_Complexity;Speed,Duration;Path_Evolution,31,34,73,30,3,90,0.5070015220700151,35.98888888888889,matched
R00012,Geometric__x__Temporal=Uncommon Temporal,Geometric__x__Kinematic=Uncommon Kinematic;Phase_Change__x__Sequence_Complexity=Uncommon Phase_Change,Geometric;Kinematic;Phase_Change;Sequence_Complexity,Geometric;Temporal,82,88,73,29,3,87,0.552826326562746,32.64367816091954,matched
R00013,Acceleration__x__Indentation=Uncommon Acceleration,Geometric__x__Kinematic=Uncommon Kinematic;Indentation__x__Phase_Change=Uncommon Phase_Change,Geometric;Kinematic;Indentation;Phase_Change,Acceleration;Indentation,78,78,73,38,4,152,0.5268565248738284,34.53947368421053,matched
R00014,Acceleration__x__Duration=Uncommon Acceleration,Duration__x__Path_Evolution=Uncommon Path_Evolution;Geometric__x__Kinematic=Uncommon Kinematic,Duration;Path_Evolution;Geometric;Kinematic,Acceleration;Duration,77,77,73,28,3,84,0.4365622961513373,41.13095238095238,matched
R00015,Path_Evolution__x__Sampling_Gaps=Uncommon Path_Evolution,Geometric__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics;Phase_Change__x__Sampling_Gaps=Uncommon Phase_Change,Geometric;SpatioTemporal_Dynamics;Phase_Change;Sampling_Gaps,Path_Evolution;Sampling_Gaps,51,51,73,27,3,81,0.42888550651107726,41.69135802469136,matched
