node_id,node_name,parent_id,depth,is_leaf,n_features,features
Movement_variables,Movement variables,,0,false,104,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_mean_first_half;acceleration_mean_half_diff;acceleration_mean_second_half;acceleration_meanse;acceleration_progress_slope;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef;angle_progress_slope;angles_0s;angles_iqr;angles_kurt;angles_mad;angles_mean;angles_meanse;angles_quant_05;angles_quant_10;angles_quant_25;angles_quant_75;angles_quant_90;angles_quant_95;angles_quant_max;angles_quant_median;angles_quant_min;angles_range;angles_sd;angles_skew;angles_vcoef;bbox_area_km2;bbox_diagonal_m;bbox_height_m;bbox_lat_span_deg;bbox_lon_span_deg;bbox_width_m;directness_ratio;distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5;duration_total_seconds;max_distance_to_centroid_m;mean_distance_to_centroid_m;median_distance_to_centroid_m;net_displacement_m;path_length_m;point_count;radius_of_gyration_m;relative_grid_entropy_3x3;relative_grid_revisit_ratio_3x3;relative_grid_unique_cells_3x3;relative_transition_entropy_3x3;sampling_gap_cv;sampling_gap_iqr_seconds;sampling_gap_mean_seconds;sampling_gap_sd_seconds;speed_0s;speed_iqr;speed_kurt;speed_mad;speed_mean;speed_mean_first_half;speed_mean_half_diff;speed_mean_second_half;speed_meanse;speed_progress_slope;speed_quant_05;speed_quant_10;speed_quant_25;speed_quant_75;speed_quant_90;speed_quant_95;speed_quant_max;speed_quant_median;speed_quant_min;speed_range;speed_sd;speed_skew;speed_vcoef
Acceleration_Dynamics,Acceleration_Dynamics,Movement_variables,1,false,19,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef
Curvature_Geometry,Curvature_Geometry,Movement_variables,1,false,15,distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5
Spatial_Reach_and_Route,Spatial_Reach_and_Route,Movement_variables,1,false,13,bbox_area_km2;bbox_diagonal_m;bbox_height_m;bbox_lat_span_deg;bbox_lon_span_deg;bbox_width_m;directness_ratio;max_distance_to_centroid_m;mean_distance_to_centroid_m;median_distance_to_centroid_m;net_displacement_m;path_length_m;radius_of_gyration_m
Speed_Dynamics,Speed_Dynamics,Movement_variables,1,false,19,speed_0s;speed_iqr;speed_kurt;speed_mad;speed_mean;speed_meanse;speed_quant_05;speed_quant_10;speed_quant_25;speed_quant_75;speed_quant_90;speed_quant_95;speed_quant_max;speed_quant_median;speed_quant_min;speed_range;speed_sd;speed_skew;speed_vcoef
Temporal_Sequential_Context,Temporal_Sequential_Context,Movement_variables,1,false,19,acceleration_mean_first_half;acceleration_mean_half_diff;acceleration_mean_second_half;acceleration_progress_slope;angle_progress_slope;duration_total_seconds;point_count;relative_grid_entropy_3x3;relative_grid_revisit_ratio_3x3;relative_grid_unique_cells_3x3;relative_transition_entropy_3x3;sampling_gap_cv;sampling_gap_iqr_seconds;sampling_gap_mean_seconds;sampling_gap_sd_seconds;speed_mean_first_half;speed_mean_half_diff;speed_mean_second_half;speed_progress_slope
Turning_Dynamics,Turning_Dynamics,Movement_variables,1,false,19,angles_0s;angles_iqr;angles_kurt;angles_mad;angles_mean;angles_meanse;angles_quant_05;angles_quant_10;angles_quant_25;angles_quant_75;angles_quant_90;angles_quant_95;angles_quant_max;angles_quant_median;angles_quant_min;angles_range;angles_sd;angles_skew;angles_vcoef
Acceleration_Level_Profile,Acceleration_Level_Profile,Acceleration_Dynamics,2,true,10,acceleration_mean;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min
Acceleration_Variability_Shape,Acceleration_Variability_Shape,Acceleration_Dynamics,2,true,9,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_meanse;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef
Curvature_Coarse_Multiscale,Curvature_Coarse_Multiscale,Curvature_Geometry,2,true,6,distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3
