pair_id,n_trajectories,n_missing,n_normal,n_hybrid,n_uncommon_total,pct_normal,pct_hybrid,pct_uncommon_total,entropy,non_normal_ratio,dominant_label,dominant_label_ratio,count__Normal,count__Hybrid,count__Uncommon_Acceleration_Dynamics,count__Uncommon_Curvature_Geometry,count__Uncommon_Spatial_Reach_and_Route,count__Uncommon_Speed_Dynamics,count__Uncommon_Temporal_Sequential_Context,count__Uncommon_Turning_Dynamics
Acceleration_Dynamics__x__Curvature_Geometry,1551,0,446,833,272,0.2875564152159897,0.5370728562217923,0.17537072856221791,1.6142743256864318,0.7124435847840103,Hybrid,0.5370728562217923,446,833,142,130,0,0,0,0
Acceleration_Dynamics__x__Spatial_Reach_and_Route,1551,0,474,877,200,0.3056092843326886,0.5654416505480335,0.1289490651192779,1.4975463936162399,0.6943907156673114,Hybrid,0.5654416505480335,474,877,105,0,95,0,0,0
Acceleration_Dynamics__x__Speed_Dynamics,1551,0,464,880,207,0.29916183107672467,0.5673758865248227,0.13346228239845262,1.505705481825988,0.7008381689232753,Hybrid,0.5673758865248227,464,880,109,0,0,98,0,0
Acceleration_Dynamics__x__Temporal_Sequential_Context,1551,0,490,865,196,0.3159252095422308,0.5577047066408769,0.12637008381689233,1.4984569696554988,0.6840747904577692,Hybrid,0.5577047066408769,490,865,100,0,0,0,96,0
Acceleration_Dynamics__x__Turning_Dynamics,1551,0,395,772,384,0.2546744036105738,0.4977433913604126,0.24758220502901354,1.7497082739758854,0.7453255963894262,Hybrid,0.4977433913604126,395,772,189,0,0,0,0,195
Curvature_Geometry__x__Spatial_Reach_and_Route,1551,0,446,837,268,0.2875564152159897,0.539651837524178,0.17279174725983237,1.607296402499825,0.7124435847840103,Hybrid,0.539651837524178,446,837,0,142,126,0,0,0
Curvature_Geometry__x__Speed_Dynamics,1551,0,415,808,328,0.2675693101225016,0.5209542230818827,0.21147646679561574,1.6840465637831317,0.7324306898774984,Hybrid,0.5209542230818827,415,808,0,155,0,173,0,0
Curvature_Geometry__x__Temporal_Sequential_Context,1551,0,466,822,263,0.3004513217279175,0.5299806576402321,0.16956802063185042,1.6100521510403552,0.6995486782720826,Hybrid,0.5299806576402321,466,822,0,125,0,0,138,0
Curvature_Geometry__x__Turning_Dynamics,1551,0,387,801,363,0.2495164410058027,0.5164410058027079,0.23404255319148937,1.7164629387566024,0.7504835589941973,Hybrid,0.5164410058027079,387,801,0,181,0,0,0,182
Spatial_Reach_and_Route__x__Speed_Dynamics,1551,0,471,852,228,0.3036750483558994,0.5493230174081238,0.1470019342359768,1.550322937358228,0.6963249516441006,Hybrid,0.5493230174081238,471,852,0,0,119,109,0,0
Spatial_Reach_and_Route__x__Temporal_Sequential_Context,1551,0,477,855,219,0.30754352030947774,0.5512572533849129,0.14119922630560927,1.536174496855952,0.6924564796905223,Hybrid,0.5512572533849129,477,855,0,0,101,0,118,0
Spatial_Reach_and_Route__x__Turning_Dynamics,1551,0,397,792,362,0.2559638942617666,0.5106382978723404,0.23339780786589298,1.7214969975103327,0.7440361057382334,Hybrid,0.5106382978723404,397,792,0,0,175,0,0,187
Speed_Dynamics__x__Temporal_Sequential_Context,1551,0,448,864,239,0.28884590586718245,0.5570599613152805,0.15409413281753706,1.5573386743574416,0.7111540941328175,Hybrid,0.5570599613152805,448,864,0,0,0,114,125,0
Speed_Dynamics__x__Turning_Dynamics,1551,0,395,785,371,0.2546744036105738,0.5061250805931657,0.23920051579626048,1.732586059431741,0.7453255963894262,Hybrid,0.5061250805931657,395,785,0,0,0,188,0,183
Temporal_Sequential_Context__x__Turning_Dynamics,1551,0,398,760,393,0.256608639587363,0.49000644745325594,0.25338491295938104,1.7623354405220435,0.743391360412637,Hybrid,0.49000644745325594,398,760,0,0,0,0,184,209
