meta_pattern_id,trajectory_id,required_uncommon_counts,observed_uncommon_counts
MP00001,22,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=4;Turning_Dynamics=3
MP00001,24,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,28,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,48,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=3
MP00001,76,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=3
MP00001,92,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,97,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,111,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,142,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,168,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,176,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=1
MP00001,181,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=3
MP00001,214,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=2
MP00001,270,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=1
MP00001,286,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=4;Turning_Dynamics=4
MP00001,287,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=1
MP00001,300,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,307,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=4
MP00001,309,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=2
MP00001,352,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,373,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=3
MP00001,426,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,442,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,479,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,499,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,532,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=2
MP00001,654,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=2
MP00001,655,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=3
MP00001,662,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,672,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=4;Turning_Dynamics=4
MP00001,691,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=4
MP00001,704,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,722,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=4;Turning_Dynamics=1
MP00001,774,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,805,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=1
MP00001,806,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=3
MP00001,823,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
