trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration_Dynamics,count_uncommon_Curvature_Geometry,count_uncommon_Spatial_Reach_and_Route,count_uncommon_Speed_Dynamics,count_uncommon_Temporal_Sequential_Context,count_uncommon_Turning_Dynamics
1,15,0,13,2,15,1.0,0.8666666666666667,0.13333333333333333,Turning_Dynamics,1,0.5,0.6998428398862386,0,0,0,0,1,1
2,15,6,2,7,9,0.6,0.13333333333333333,0.4666666666666667,Temporal_Sequential_Context,4,0.5714285714285714,1.8892464285091581,0,3,0,0,4,0
3,15,1,11,3,14,0.9333333333333333,0.7333333333333333,0.2,Turning_Dynamics,2,0.6666666666666666,1.2366407419411674,0,1,0,0,0,2
4,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Temporal_Sequential_Context,3,0.6,1.8892464285091581,0,0,0,0,3,2
5,15,3,5,7,12,0.8,0.3333333333333333,0.4666666666666667,Turning_Dynamics,3,0.42857142857142855,2.181937063546704,0,0,1,0,3,3
6,15,0,10,5,15,1.0,0.6666666666666666,0.3333333333333333,Temporal_Sequential_Context,1,0.2,1.6922718656836107,1,1,1,1,1,0
7,15,6,7,2,9,0.6,0.4666666666666667,0.13333333333333333,Speed_Dynamics,2,1.0,1.4294732983598406,0,0,0,2,0,0
8,15,3,6,6,12,0.8,0.4,0.4,Turning_Dynamics,3,0.5,1.9219280948873623,0,0,0,3,0,3
9,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
10,15,15,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
11,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
12,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Acceleration_Dynamics,2,0.5,1.5589385323502774,2,0,0,1,1,0
13,15,3,10,2,12,0.8,0.6666666666666666,0.13333333333333333,Curvature_Geometry,2,1.0,1.2419460322060458,0,2,0,0,0,0
14,15,1,11,3,14,0.9333333333333333,0.7333333333333333,0.2,Spatial_Reach_and_Route,2,0.6666666666666666,1.2366407419411674,0,1,2,0,0,0
15,15,10,4,1,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,Acceleration_Dynamics,1,1.0,1.1589385323502772,1,0,0,0,0,0
16,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Turning_Dynamics,4,0.8,1.8062389286533893,0,0,0,1,0,4
17,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Spatial_Reach_and_Route,2,0.5,1.4256051990169438,0,2,2,0,0,0
18,15,3,8,4,12,0.8,0.5333333333333333,0.26666666666666666,Turning_Dynamics,2,0.5,1.7232314287976207,0,0,0,0,2,2
19,15,3,9,3,12,0.8,0.6,0.2,Acceleration_Dynamics,3,1.0,1.3709505944546687,3,0,0,0,0,0
20,15,15,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
21,15,10,4,1,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,Curvature_Geometry,1,1.0,1.158938532350277,0,1,0,0,0,0
22,15,6,2,7,9,0.6,0.13333333333333333,0.4666666666666667,Curvature_Geometry,4,0.5714285714285714,1.8892464285091581,0,4,0,0,0,3
23,15,10,2,3,5,0.3333333333333333,0.13333333333333333,0.2,Spatial_Reach_and_Route,3,1.0,1.2419460322060458,0,0,3,0,0,0
24,15,1,8,6,14,0.9333333333333333,0.5333333333333333,0.4,Turning_Dynamics,2,0.3333333333333333,1.9068905956085187,0,2,2,0,0,2
25,15,0,10,5,15,1.0,0.6666666666666666,0.3333333333333333,Temporal_Sequential_Context,1,0.2,1.6922718656836107,1,1,1,1,1,0
26,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Turning_Dynamics,1,0.25,1.6922718656836107,1,1,1,0,0,1
