meta_pattern_id,trajectory_id,contrast_group,contrast_group_label,is_covered,is_contrast_member,selection_reason,required_uncommon_counts,observed_uncommon_counts,pattern_deficit,pattern_evidence_count,n_pair_labels,n_uncommon_total,n_hybrid_total,n_normal_total
MP00001,22,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=4;Turning_Dynamics=3,0,3,15,7,0,0
MP00001,24,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2,0,3,15,6,0,0
MP00001,28,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2,0,3,15,8,0,0
MP00001,48,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=3,0,3,15,6,0,0
MP00001,76,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=3,0,3,15,7,0,0
MP00001,92,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2,0,3,15,6,0,0
MP00001,97,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2,0,3,15,5,0,0
MP00001,111,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2,0,3,15,8,0,0
MP00001,142,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2,0,3,15,4,0,0
MP00001,168,covered,Target group,True,False,satisfies_required_uncommon_counts,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2,0,3,15,7,0,0
