feature,status,median_imputation_value,feature_range_after_imputation
distance_geometry_1_1,used,0.8521992492282073,0.9725831091294029
distance_geometry_2_1,used,0.9285426693703501,0.9643179389080698
distance_geometry_2_2,used,0.9282205073925065,0.9497796103527153
distance_geometry_3_1,used,0.9510541465063445,0.9545961553510627
distance_geometry_3_2,used,0.9569343601388771,0.9388504380233249
distance_geometry_3_3,used,0.9519113074190455,0.9501016211523318
distance_geometry_4_1,used,0.9611612472440179,0.961545999713911
distance_geometry_4_2,used,0.9674196386671232,0.9559584108410522
distance_geometry_4_3,used,0.9666452834870357,0.9551628906576171
distance_geometry_4_4,used,0.968410875081137,0.8922547592360891
distance_geometry_5_1,used,0.9689957756702852,0.9843095332435868
distance_geometry_5_2,used,0.9742364528031371,0.9166934080290445
distance_geometry_5_3,used,0.9753842171789755,0.9568345933063631
distance_geometry_5_4,used,0.9740257597290684,0.9528456554557605
distance_geometry_5_5,used,0.9742517901955023,0.9577003285881451
angles_0s,used,5.0,41.0
angles_mean,used,10.288582843248701,51.09283544287974
angles_meanse,used,1.4695046123896844,9.932990233293932
angles_quant_min,used,0.0,1.5603537288080307
angles_quant_05,used,0.0,5.6069491252034815
angles_quant_10,used,9.59867033293836e-07,8.130102354153506
angles_quant_25,used,1.9348028855322528,18.434948822927183
angles_quant_median,used,7.301415371816995,39.146781635429655
angles_quant_75,used,13.847315138882488,132.76105525419996
angles_quant_90,used,22.298810753901172,175.96954572842077
angles_quant_95,used,28.104598051328566,175.05182248456606
angles_quant_max,used,45.25680693397476,174.3147021303882
angles_range,used,45.041463501777784,174.3151242020924
angles_sd,used,10.798609425063306,72.99227307485693
angles_vcoef,used,1.0716622343138829,2.9707287860162865
angles_mad,used,5.151604370715187,26.56505117708464
angles_iqr,used,11.309932474020982,132.75772543072412
angles_skew,used,1.6537376919518336,6.981294325805574
angles_kurt,used,2.6729430960171623,46.47447937343932
speed_0s,used,0.0,8.0
speed_mean,used,4.65917486057619,15.68677903987614
speed_meanse,used,0.23863122007753723,0.9426555332924298
speed_quant_min,used,1.1348783814831063,11.176092911926274
speed_quant_05,used,1.9711972659888202,11.417334620638824
speed_quant_10,used,2.2539973569298395,11.973124310101621
speed_quant_25,used,3.167921958414989,13.471430275886142
speed_quant_median,used,4.365766503534903,18.9233599092678
speed_quant_75,used,5.933825874730439,21.144268558048687
speed_quant_90,used,7.146046178140324,22.166316868949593
speed_quant_95,used,7.776015830406183,23.476761811748894
speed_quant_max,used,8.892244132024171,26.133999935621844
speed_range,used,7.169335856944876,25.839753673795144
speed_sd,used,1.769736493312824,6.990920539855673
speed_vcoef,used,0.4174586146318887,1.049908928221381
speed_mad,used,1.1066231195230027,7.570923797180125
speed_iqr,used,2.3424163813010903,14.199634018618692
speed_skew,used,0.36747629107465074,5.900719884817324
speed_kurt,used,-0.41626544425950907,21.99252577474875
acceleration_0s,used,0.0,7.0
acceleration_mean,used,8.334936246511516e-06,0.00013090234683201554
acceleration_meanse,used,1.528695619122045e-05,7.49856212797255e-05
acceleration_quant_min,used,-0.0002260525615324228,0.002086618781638451
acceleration_quant_05,used,-0.0001400305785247636,0.0007913823364941512
acceleration_quant_10,used,-0.0001082188517270638,0.0004591780127534573
acceleration_quant_25,used,-5.731598349320145e-05,0.00021279543505705527
acceleration_quant_median,used,-6.188465378003188e-18,0.00014568422685980493
acceleration_quant_75,used,7.015824613576069e-05,0.00023227913047170771
acceleration_quant_90,used,0.00012134307469974003,0.0004857558770184728
acceleration_quant_95,used,0.00016395675181945843,0.0006541275732810248
