rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00001,Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Temporal_Sequential_Context,2,2688,238,20,0.00744047619047619,0.08403361344537816,20,0.00744047619047619,1.0,0.08854166666666667,11.294117647058822,,zero_contrast,0.006781684027777777
R00002,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context;Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,2688,298,22,0.00818452380952381,0.0738255033557047,22,0.00818452380952381,1.0,0.11086309523809523,9.02013422818792,,zero_contrast,0.007277162166950114
R00003,Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,Temporal_Sequential_Context__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,2688,304,26,0.009672619047619048,0.08552631578947369,26,0.009672619047619048,1.0,0.1130952380952381,8.842105263157894,,zero_contrast,0.008578691893424037
R00004,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry,Curvature_Geometry__x__Spatial_Reach_and_Route,Uncommon Curvature_Geometry,Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,2688,321,21,0.0078125,0.06542056074766354,21,0.0078125,1.0,0.11941964285714286,8.373831775700934,,zero_contrast,0.006879534040178571
R00005,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,2688,336,34,0.012648809523809524,0.10119047619047619,35,0.013020833333333334,0.9714285714285714,0.125,7.771428571428571,238.0,finite,0.011021205357142858
R00006,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,2,2688,294,26,0.009672619047619048,0.08843537414965986,27,0.010044642857142858,0.9629629629629629,0.109375,8.804232804232804,211.71428571428572,finite,0.008573986235119048
R00007,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,2688,336,25,0.009300595238095238,0.0744047619047619,26,0.009672619047619048,0.9615384615384616,0.125,7.6923076923076925,175.0,finite,0.008091517857142856
R00008,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,2,2688,311,37,0.013764880952380952,0.1189710610932476,39,0.014508928571428572,0.9487179487179487,0.11569940476190477,8.199851595349987,141.39710610932477,finite,0.012086206552933673
R00009,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry,Curvature_Geometry__x__Spatial_Reach_and_Route,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,2,2688,321,37,0.013764880952380952,0.11526479750778816,39,0.014508928571428572,0.9487179487179487,0.11941964285714286,7.944404505152168,136.4158878504673,finite,0.012032229884141156
R00010,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Curvature_Geometry,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,2,2688,330,33,0.012276785714285714,0.1,35,0.013020833333333334,0.9428571428571428,0.12276785714285714,7.680000000000001,117.9,finite,0.010678245907738096
R00011,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,2688,332,33,0.012276785714285714,0.09939759036144578,35,0.013020833333333334,0.9428571428571428,0.12351190476190477,7.6337349397590355,117.09036144578313,finite,0.010668557787698412
R00012,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,2,2688,294,30,0.011160714285714286,0.10204081632653061,32,0.011904761904761904,0.9375,0.109375,8.571428571428571,122.14285714285715,finite,0.009858630952380952
