rule_id,antecedent_items,consequent_items,antecedent_length,consequent_length,itemset_length,support_count,support_ratio,antecedent_support_count,antecedent_support_ratio,consequent_support_count,consequent_support_ratio,confidence,lift,leverage
RAW-FP-R00001,angles_quant_05=medium,angles_quant_10=medium,1,1,2,312,0.11607142857142858,371,0.13802083333333334,526,0.1956845238095238,0.8409703504043127,4.297582322978693,0.08906288752480158
RAW-FP-R00002,bbox_lat_span_deg=high,bbox_height_m=high,1,1,2,892,0.3318452380952381,892,0.3318452380952381,894,0.3325892857142857,1.0,3.0067114093959733,0.22147706738945577
RAW-FP-R00003,bbox_height_m=high,bbox_lat_span_deg=high,1,1,2,892,0.3318452380952381,894,0.3325892857142857,892,0.3318452380952381,0.9977628635346756,3.0067114093959733,0.22147706738945577
RAW-FP-R00004,acceleration_meanse=high,acceleration_sd=high,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00005,acceleration_meanse=low,acceleration_sd=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00006,acceleration_meanse=medium,acceleration_sd=medium,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00007,acceleration_sd=high,acceleration_meanse=high,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00008,acceleration_sd=low,acceleration_meanse=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00009,acceleration_sd=medium,acceleration_meanse=medium,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00010,angles_meanse=high,angles_sd=high,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00011,angles_meanse=low,angles_sd=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00012,angles_meanse=medium,angles_sd=medium,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00013,angles_quant_max=low,angles_range=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00014,angles_range=low,angles_quant_max=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00015,angles_sd=high,angles_meanse=high,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00016,angles_sd=low,angles_meanse=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00017,angles_sd=medium,angles_meanse=medium,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00018,bbox_height_m=low,bbox_lat_span_deg=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00019,bbox_lat_span_deg=low,bbox_height_m=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00020,speed_meanse=high,speed_sd=high,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00021,speed_meanse=low,speed_sd=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00022,speed_meanse=medium,speed_sd=medium,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00023,speed_sd=high,speed_meanse=high,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00024,speed_sd=low,speed_meanse=low,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00025,speed_sd=medium,speed_meanse=medium,1,1,2,896,0.3333333333333333,896,0.3333333333333333,896,0.3333333333333333,1.0,3.0,0.2222222222222222
RAW-FP-R00026,angles_quant_max=high,angles_range=high,1,1,2,895,0.33296130952380953,896,0.3333333333333333,896,0.3333333333333333,0.9988839285714286,2.996651785714286,0.22185019841269843
RAW-FP-R00027,angles_quant_max=medium,angles_range=medium,1,1,2,895,0.33296130952380953,896,0.3333333333333333,896,0.3333333333333333,0.9988839285714286,2.996651785714286,0.22185019841269843
RAW-FP-R00028,angles_range=high,angles_quant_max=high,1,1,2,895,0.33296130952380953,896,0.3333333333333333,896,0.3333333333333333,0.9988839285714286,2.996651785714286,0.22185019841269843
RAW-FP-R00029,angles_range=medium,angles_quant_max=medium,1,1,2,895,0.33296130952380953,896,0.3333333333333333,896,0.3333333333333333,0.9988839285714286,2.996651785714286,0.22185019841269843
RAW-FP-R00030,bbox_height_m=medium,bbox_lat_span_deg=medium,1,1,2,898,0.33407738095238093,898,0.33407738095238093,900,0.33482142857142855,1.0,2.986666666666667,0.2222211150085034
RAW-FP-R00031,bbox_lat_span_deg=medium,bbox_height_m=medium,1,1,2,898,0.33407738095238093,900,0.33482142857142855,898,0.33407738095238093,0.9977777777777778,2.986666666666667,0.2222211150085034
RAW-FP-R00032,duration_total_seconds=low,sampling_gap_mean_seconds=low,1,1,2,910,0.3385416666666667,910,0.3385416666666667,910,0.3385416666666667,1.0,2.9538461538461536,0.2239312065972222
RAW-FP-R00033,sampling_gap_mean_seconds=low,duration_total_seconds=low,1,1,2,910,0.3385416666666667,910,0.3385416666666667,910,0.3385416666666667,1.0,2.9538461538461536,0.2239312065972222
RAW-FP-R00034,directness_ratio=low,distance_geometry_1_1=low,1,1,2,881,0.32775297619047616,896,0.3333333333333333,896,0.3333333333333333,0.9832589285714286,2.949776785714286,0.21664186507936506
RAW-FP-R00035,distance_geometry_1_1=low,directness_ratio=low,1,1,2,881,0.32775297619047616,896,0.3333333333333333,896,0.3333333333333333,0.9832589285714286,2.949776785714286,0.21664186507936506
RAW-FP-R00036,mean_distance_to_centroid_m=high,radius_of_gyration_m=high,1,1,2,874,0.32514880952380953,896,0.3333333333333333,896,0.3333333333333333,0.9754464285714286,2.926339285714286,0.21403769841269843
RAW-FP-R00037,radius_of_gyration_m=high,mean_distance_to_centroid_m=high,1,1,2,874,0.32514880952380953,896,0.3333333333333333,896,0.3333333333333333,0.9754464285714286,2.926339285714286,0.21403769841269843
RAW-FP-R00038,bbox_lon_span_deg=low,bbox_width_m=low,1,1,2,873,0.3247767857142857,896,0.3333333333333333,896,0.3333333333333333,0.9743303571428571,2.9229910714285716,0.2136656746031746
RAW-FP-R00039,bbox_width_m=low,bbox_lon_span_deg=low,1,1,2,873,0.3247767857142857,896,0.3333333333333333,896,0.3333333333333333,0.9743303571428571,2.9229910714285716,0.2136656746031746
RAW-FP-R00040,directness_ratio=high,distance_geometry_1_1=high,1,1,2,870,0.3236607142857143,896,0.3333333333333333,896,0.3333333333333333,0.9709821428571429,2.912946428571429,0.2125496031746032
RAW-FP-R00041,distance_geometry_1_1=high,directness_ratio=high,1,1,2,870,0.3236607142857143,896,0.3333333333333333,896,0.3333333333333333,0.9709821428571429,2.912946428571429,0.2125496031746032
RAW-FP-R00042,mean_distance_to_centroid_m=low,radius_of_gyration_m=low,1,1,2,868,0.3229166666666667,896,0.3333333333333333,896,0.3333333333333333,0.96875,2.90625,0.21180555555555558
RAW-FP-R00043,radius_of_gyration_m=low,mean_distance_to_centroid_m=low,1,1,2,868,0.3229166666666667,896,0.3333333333333333,896,0.3333333333333333,0.96875,2.90625,0.21180555555555558
RAW-FP-R00044,relative_transition_entropy_3x3=low,relative_grid_entropy_3x3=low,1,1,2,865,0.32180059523809523,896,0.3333333333333333,897,0.33370535714285715,0.9654017857142857,2.8929765886287626,0.2105654761904762
RAW-FP-R00045,relative_grid_entropy_3x3=low,relative_transition_entropy_3x3=low,1,1,2,865,0.32180059523809523,897,0.33370535714285715,896,0.3333333333333333,0.9643255295429208,2.8929765886287626,0.2105654761904762
