feature,bin_label,lower_bound,upper_bound,lower_inclusive,upper_inclusive,n_non_missing,n_missing,status
distance_geometry_1_1,low,-inf,0.757736719320215,true,true,2688,0,used
distance_geometry_1_1,medium,0.757736719320215,0.912242726615443,false,true,2688,0,used
distance_geometry_1_1,high,0.912242726615443,inf,false,true,2688,0,used
distance_geometry_2_1,low,-inf,0.8626072098334049,true,true,2688,0,used
distance_geometry_2_1,medium,0.8626072098334049,0.9601824530922937,false,true,2688,0,used
distance_geometry_2_1,high,0.9601824530922937,inf,false,true,2688,0,used
distance_geometry_2_2,low,-inf,0.8718385976631331,true,true,2688,0,used
distance_geometry_2_2,medium,0.8718385976631331,0.9588056854930641,false,true,2688,0,used
distance_geometry_2_2,high,0.9588056854930641,inf,false,true,2688,0,used
distance_geometry_3_1,low,-inf,0.9103526036532585,true,true,2688,0,used
distance_geometry_3_1,medium,0.9103526036532585,0.9749181054811926,false,true,2688,0,used
distance_geometry_3_1,high,0.9749181054811926,inf,false,true,2688,0,used
distance_geometry_3_2,low,-inf,0.9194524577866922,true,true,2688,0,used
distance_geometry_3_2,medium,0.9194524577866922,0.9768077601096047,false,true,2688,0,used
distance_geometry_3_2,high,0.9768077601096047,inf,false,true,2688,0,used
distance_geometry_3_3,low,-inf,0.9090913418717158,true,true,2688,0,used
distance_geometry_3_3,medium,0.9090913418717158,0.9721834617875424,false,true,2688,0,used
distance_geometry_3_3,high,0.9721834617875424,inf,false,true,2688,0,used
distance_geometry_4_1,low,-inf,0.9264373500158604,true,true,2688,0,used
distance_geometry_4_1,medium,0.9264373500158604,0.9798747928846889,false,true,2688,0,used
distance_geometry_4_1,high,0.9798747928846889,inf,false,true,2688,0,used
distance_geometry_4_2,low,-inf,0.9363545661728019,true,true,2688,0,used
distance_geometry_4_2,medium,0.9363545661728019,0.9822434810235239,false,true,2688,0,used
distance_geometry_4_2,high,0.9822434810235239,inf,false,true,2688,0,used
distance_geometry_4_3,low,-inf,0.9395461393260799,true,true,2688,0,used
distance_geometry_4_3,medium,0.9395461393260799,0.9824725947059672,false,true,2688,0,used
distance_geometry_4_3,high,0.9824725947059672,inf,false,true,2688,0,used
distance_geometry_4_4,low,-inf,0.9424848008776376,true,true,2688,0,used
distance_geometry_4_4,medium,0.9424848008776376,0.9829526158196574,false,true,2688,0,used
distance_geometry_4_4,high,0.9829526158196574,inf,false,true,2688,0,used
distance_geometry_5_1,low,-inf,0.93922747553621,true,true,2688,0,used
distance_geometry_5_1,medium,0.93922747553621,0.9843837333295214,false,true,2688,0,used
distance_geometry_5_1,high,0.9843837333295214,inf,false,true,2688,0,used
distance_geometry_5_2,low,-inf,0.9496684223371226,true,true,2688,0,used
distance_geometry_5_2,medium,0.9496684223371226,0.9862013358862918,false,true,2688,0,used
distance_geometry_5_2,high,0.9862013358862918,inf,false,true,2688,0,used
distance_geometry_5_3,low,-inf,0.9537938808909395,true,true,2688,0,used
distance_geometry_5_3,medium,0.9537938808909395,0.9867733283008214,false,true,2688,0,used
distance_geometry_5_3,high,0.9867733283008214,inf,false,true,2688,0,used
distance_geometry_5_4,low,-inf,0.952884613079511,true,true,2688,0,used
