itemset_id,items,itemset_length,support_count,support_ratio
RAW-FP-I00001,duration_total_seconds=medium,1,1754,0.6525297619047619
RAW-FP-I00002,sampling_gap_mean_seconds=medium,1,1754,0.6525297619047619
RAW-FP-I00003,relative_grid_unique_cells_3x3=low,1,1715,0.6380208333333334
RAW-FP-I00004,relative_grid_revisit_ratio_3x3=medium,1,1576,0.5863095238095238
RAW-FP-I00005,sampling_gap_cv=low,1,1526,0.5677083333333334
RAW-FP-I00006,sampling_gap_sd_seconds=low,1,1526,0.5677083333333334
RAW-FP-I00007,angles_quant_min=low,1,1446,0.5379464285714286
RAW-FP-I00008,angles_quant_05=low,1,1421,0.5286458333333334
RAW-FP-I00009,angles_quant_10=low,1,1266,0.47098214285714285
RAW-FP-I00010,angles_0s=low,1,1242,0.46205357142857145
RAW-FP-I00011,relative_grid_revisit_ratio_3x3=low,1,973,0.3619791666666667
RAW-FP-I00012,duration_total_seconds=low,1,910,0.3385416666666667
RAW-FP-I00013,sampling_gap_mean_seconds=low,1,910,0.3385416666666667
RAW-FP-I00014,bbox_lat_span_deg=medium,1,900,0.33482142857142855
RAW-FP-I00015,bbox_height_m=medium,1,898,0.33407738095238093
RAW-FP-I00016,bbox_lon_span_deg=medium,1,897,0.33370535714285715
RAW-FP-I00017,relative_grid_entropy_3x3=low,1,897,0.33370535714285715
RAW-FP-I00018,relative_transition_entropy_3x3=medium,1,897,0.33370535714285715
RAW-FP-I00019,acceleration_iqr=high,1,896,0.3333333333333333
RAW-FP-I00020,acceleration_iqr=low,1,896,0.3333333333333333
RAW-FP-I00021,acceleration_iqr=medium,1,896,0.3333333333333333
RAW-FP-I00022,acceleration_kurt=high,1,896,0.3333333333333333
RAW-FP-I00023,acceleration_kurt=low,1,896,0.3333333333333333
RAW-FP-I00024,acceleration_kurt=medium,1,896,0.3333333333333333
RAW-FP-I00025,acceleration_mad=high,1,896,0.3333333333333333
RAW-FP-I00026,acceleration_mad=low,1,896,0.3333333333333333
RAW-FP-I00027,acceleration_mad=medium,1,896,0.3333333333333333
RAW-FP-I00028,acceleration_mean=high,1,896,0.3333333333333333
RAW-FP-I00029,acceleration_mean=low,1,896,0.3333333333333333
RAW-FP-I00030,acceleration_mean=medium,1,896,0.3333333333333333
RAW-FP-I00031,acceleration_mean_first_half=high,1,896,0.3333333333333333
RAW-FP-I00032,acceleration_mean_first_half=low,1,896,0.3333333333333333
RAW-FP-I00033,acceleration_mean_first_half=medium,1,896,0.3333333333333333
RAW-FP-I00034,acceleration_mean_half_diff=high,1,896,0.3333333333333333
RAW-FP-I00035,acceleration_mean_half_diff=low,1,896,0.3333333333333333
RAW-FP-I00036,acceleration_mean_half_diff=medium,1,896,0.3333333333333333
RAW-FP-I00037,acceleration_mean_second_half=high,1,896,0.3333333333333333
RAW-FP-I00038,acceleration_mean_second_half=low,1,896,0.3333333333333333
RAW-FP-I00039,acceleration_mean_second_half=medium,1,896,0.3333333333333333
RAW-FP-I00040,acceleration_meanse=high,1,896,0.3333333333333333
RAW-FP-I00041,acceleration_meanse=low,1,896,0.3333333333333333
RAW-FP-I00042,acceleration_meanse=medium,1,896,0.3333333333333333
RAW-FP-I00043,acceleration_progress_slope=high,1,896,0.3333333333333333
RAW-FP-I00044,acceleration_progress_slope=low,1,896,0.3333333333333333
RAW-FP-I00045,acceleration_progress_slope=medium,1,896,0.3333333333333333
RAW-FP-I00046,acceleration_quant_05=high,1,896,0.3333333333333333
RAW-FP-I00047,acceleration_quant_05=low,1,896,0.3333333333333333
RAW-FP-I00048,acceleration_quant_05=medium,1,896,0.3333333333333333
RAW-FP-I00049,acceleration_quant_10=high,1,896,0.3333333333333333
RAW-FP-I00050,acceleration_quant_10=low,1,896,0.3333333333333333
RAW-FP-I00051,acceleration_quant_10=medium,1,896,0.3333333333333333
RAW-FP-I00052,acceleration_quant_25=high,1,896,0.3333333333333333
RAW-FP-I00053,acceleration_quant_25=low,1,896,0.3333333333333333
RAW-FP-I00054,acceleration_quant_25=medium,1,896,0.3333333333333333
RAW-FP-I00055,acceleration_quant_75=high,1,896,0.3333333333333333
RAW-FP-I00056,acceleration_quant_75=low,1,896,0.3333333333333333
RAW-FP-I00057,acceleration_quant_75=medium,1,896,0.3333333333333333
RAW-FP-I00058,acceleration_quant_90=high,1,896,0.3333333333333333
RAW-FP-I00059,acceleration_quant_90=low,1,896,0.3333333333333333
RAW-FP-I00060,acceleration_quant_90=medium,1,896,0.3333333333333333
RAW-FP-I00061,acceleration_quant_95=high,1,896,0.3333333333333333
RAW-FP-I00062,acceleration_quant_95=low,1,896,0.3333333333333333
RAW-FP-I00063,acceleration_quant_95=medium,1,896,0.3333333333333333
RAW-FP-I00064,acceleration_quant_max=high,1,896,0.3333333333333333
RAW-FP-I00065,acceleration_quant_max=low,1,896,0.3333333333333333
RAW-FP-I00066,acceleration_quant_max=medium,1,896,0.3333333333333333
RAW-FP-I00067,acceleration_quant_median=high,1,896,0.3333333333333333
RAW-FP-I00068,acceleration_quant_median=low,1,896,0.3333333333333333
RAW-FP-I00069,acceleration_quant_median=medium,1,896,0.3333333333333333
RAW-FP-I00070,acceleration_quant_min=high,1,896,0.3333333333333333
RAW-FP-I00071,acceleration_quant_min=low,1,896,0.3333333333333333
RAW-FP-I00072,acceleration_quant_min=medium,1,896,0.3333333333333333
RAW-FP-I00073,acceleration_range=high,1,896,0.3333333333333333
RAW-FP-I00074,acceleration_range=low,1,896,0.3333333333333333
