pair_id,node_a,node_b,n_features_a,n_features_b,features_a,features_b
Acceleration__x__Curvature,Acceleration,Curvature,19,15,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5
Acceleration__x__Displacement,Acceleration,Displacement,19,3,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,directness_ratio;net_displacement_m;path_length_m
Acceleration__x__Duration,Acceleration,Duration,19,2,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,duration_total_seconds;point_count
Acceleration__x__Extent,Acceleration,Extent,19,6,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,bbox_area_km2;bbox_diagonal_m;bbox_height_m;bbox_lat_span_deg;bbox_lon_span_deg;bbox_width_m
Acceleration__x__Geometric,Acceleration,Geometric,19,34,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,angles_0s;angles_iqr;angles_kurt;angles_mad;angles_mean;angles_meanse;angles_quant_05;angles_quant_10;angles_quant_25;angles_quant_75;angles_quant_90;angles_quant_95;angles_quant_max;angles_quant_median;angles_quant_min;angles_range;angles_sd;angles_skew;angles_vcoef;distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5
Acceleration__x__Indentation,Acceleration,Indentation,19,19,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,angles_0s;angles_iqr;angles_kurt;angles_mad;angles_mean;angles_meanse;angles_quant_05;angles_quant_10;angles_quant_25;angles_quant_75;angles_quant_90;angles_quant_95;angles_quant_max;angles_quant_median;angles_quant_min;angles_range;angles_sd;angles_skew;angles_vcoef
Acceleration__x__Localization,Acceleration,Localization,19,4,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,max_distance_to_centroid_m;mean_distance_to_centroid_m;median_distance_to_centroid_m;radius_of_gyration_m
Acceleration__x__Path_Evolution,Acceleration,Path_Evolution,19,3,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,acceleration_progress_slope;angle_progress_slope;speed_progress_slope
Acceleration__x__Phase_Change,Acceleration,Phase_Change,19,6,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,acceleration_mean_first_half;acceleration_mean_half_diff;acceleration_mean_second_half;speed_mean_first_half;speed_mean_half_diff;speed_mean_second_half
Acceleration__x__Sampling_Gaps,Acceleration,Sampling_Gaps,19,4,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,sampling_gap_cv;sampling_gap_iqr_seconds;sampling_gap_mean_seconds;sampling_gap_sd_seconds
