pair_id,n_trajectories,n_missing,n_normal,n_hybrid,n_uncommon_total,pct_normal,pct_hybrid,pct_uncommon_total,entropy,non_normal_ratio,dominant_label,dominant_label_ratio,count__Normal,count__Hybrid,count__Uncommon_Acceleration,count__Uncommon_Curvature,count__Uncommon_Displacement,count__Uncommon_Duration,count__Uncommon_Extent,count__Uncommon_Geometric,count__Uncommon_Indentation,count__Uncommon_Kinematic,count__Uncommon_Localization,count__Uncommon_Path_Evolution,count__Uncommon_Phase_Change,count__Uncommon_Sampling_Gaps,count__Uncommon_Sequence_Complexity,count__Uncommon_Spatial_Context,count__Uncommon_SpatioTemporal_Dynamics,count__Uncommon_Speed,count__Uncommon_Temporal
Acceleration__x__Curvature,2688,0,673,1349,666,0.25037202380952384,0.5018601190476191,0.24776785714285715,1.745873427959289,0.7496279761904762,Hybrid,0.5018601190476191,673,1349,336,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Displacement,2688,0,685,1323,680,0.25483630952380953,0.4921875,0.25297619047619047,1.7603802954619623,0.7451636904761905,Hybrid,0.4921875,685,1323,352,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Duration,2688,0,1319,1307,62,0.49069940476190477,0.48623511904761907,0.023065476190476192,1.1565451356712029,0.5093005952380952,Normal,0.49069940476190477,1319,1307,41,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Extent,2688,0,725,1378,585,0.2697172619047619,0.5126488095238095,0.21763392857142858,1.700368024830591,0.7302827380952381,Hybrid,0.5126488095238095,725,1378,301,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Indentation,2688,0,724,1376,588,0.2693452380952381,0.5119047619047619,0.21875,1.7026170582250464,0.7306547619047619,Hybrid,0.5119047619047619,724,1376,290,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0
Acceleration__x__Localization,2688,0,715,1367,606,0.26599702380952384,0.5085565476190477,0.22544642857142858,1.7142339287339778,0.7340029761904762,Hybrid,0.5085565476190477,715,1367,307,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0
Acceleration__x__Path_Evolution,2688,0,757,1429,502,0.28162202380952384,0.5316220238095238,0.18675595238095238,1.638281627850288,0.7183779761904762,Hybrid,0.5316220238095238,757,1429,253,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0
Acceleration__x__Phase_Change,2688,0,809,1443,436,0.3009672619047619,0.5368303571428571,0.16220238095238096,1.590938288780627,0.6990327380952381,Hybrid,0.5368303571428571,809,1443,213,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0
Acceleration__x__Sampling_Gaps,2688,0,1318,1307,63,0.49032738095238093,0.48623511904761907,0.0234375,1.1587544165977313,0.5096726190476191,Normal,0.49032738095238093,1318,1307,41,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
Acceleration__x__Sequence_Complexity,2688,0,658,1344,686,0.24479166666666666,0.5,0.2552083333333333,1.7544255154904276,0.7552083333333334,Hybrid,0.5,658,1344,363,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0
Acceleration__x__Speed,2688,0,731,1391,566,0.27194940476190477,0.5174851190476191,0.2105654761904762,1.6863599984944133,0.7280505952380952,Hybrid,0.5174851190476191,731,1391,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0
