trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
1,76,34,35,7,42,0.5526315789473685,0.4605263157894737,0.09210526315789473,Sequence_Complexity,2,0.2857142857142857,1.5308401161332517,0,2,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0
2,76,46,25,5,30,0.39473684210526316,0.32894736842105265,0.06578947368421052,Phase_Change,3,0.6,1.314570378902083,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3,76,51,8,17,25,0.32894736842105265,0.10526315789473684,0.2236842105263158,Curvature,8,0.47058823529411764,1.5432123167720502,0,8,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
4,76,42,27,7,34,0.4473684210526316,0.35526315789473684,0.09210526315789473,Indentation,6,0.8571428571428571,1.374650285556105,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
5,76,29,37,10,47,0.618421052631579,0.4868421052631579,0.13157894736842105,Path_Evolution,3,0.3,1.7428471070076088,0,0,0,0,0,1,0,0,2,3,2,0,0,0,1,0,1
6,76,22,35,19,54,0.7105263157894737,0.4605263157894737,0.25,Sequence_Complexity,5,0.2631578947368421,2.1478410706260664,0,3,5,0,0,2,0,2,0,0,0,0,5,2,0,0,0
7,76,31,32,13,45,0.5921052631578947,0.42105263157894735,0.17105263157894737,Phase_Change,3,0.23076923076923078,1.9277304986520514,0,0,2,0,2,2,2,0,0,0,3,0,0,0,0,0,2
8,76,21,39,16,55,0.7236842105263158,0.5131578947368421,0.21052631578947367,Phase_Change,5,0.3125,1.9914963569600934,2,0,0,0,3,0,0,0,2,3,5,0,0,0,0,0,1
9,76,0,72,4,76,1.0,0.9473684210526315,0.05263157894736842,Temporal,1,0.25,0.40273540681402653,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
10,76,15,40,21,61,0.8026315789473685,0.5263157894736842,0.27631578947368424,Sampling_Gaps,5,0.23809523809523808,2.2024715768559626,4,0,0,5,0,1,0,0,0,1,0,5,1,0,0,3,1
11,76,24,36,16,52,0.6842105263157895,0.47368421052631576,0.21052631578947367,Sequence_Complexity,5,0.3125,2.0106814206783454,0,0,0,0,3,0,1,0,0,3,1,0,5,0,3,0,0
12,76,21,44,11,55,0.7236842105263158,0.5789473684210527,0.14473684210526316,Speed,2,0.18181818181818182,1.768274130569966,0,2,2,0,0,1,0,0,0,0,1,0,2,1,0,2,0
13,76,11,41,24,65,0.8552631578947368,0.5394736842105263,0.3157894736842105,Sampling_Gaps,5,0.20833333333333334,2.268421777291582,0,0,0,5,0,0,4,0,3,3,0,5,0,0,0,2,2
14,76,16,25,35,60,0.7894736842105263,0.32894736842105265,0.4605263157894737,Sampling_Gaps,6,0.17142857142857143,2.8777235034215347,0,1,0,6,6,0,0,2,0,6,4,6,0,2,0,0,2
15,76,13,48,15,63,0.8289473684210527,0.631578947368421,0.19736842105263158,Temporal,3,0.2,1.9098526269333664,3,1,2,0,1,0,1,2,0,0,1,0,1,0,0,0,3
16,76,39,17,20,37,0.4868421052631579,0.2236842105263158,0.2631578947368421,Acceleration,7,0.35,2.04353670031494,7,0,0,0,0,0,0,2,0,3,6,0,0,0,0,0,2
17,76,24,27,25,52,0.6842105263157895,0.35526315789473684,0.32894736842105265,Curvature,7,0.28,2.4363197831204086,4,7,4,0,0,2,5,2,0,0,0,0,0,0,0,1,0
18,76,31,28,17,45,0.5921052631578947,0.3684210526315789,0.2236842105263158,Localization,5,0.29411764705882354,2.089239007910253,0,0,3,0,0,0,0,0,5,3,0,0,3,2,0,0,1
19,76,46,28,2,30,0.39473684210526316,0.3684210526315789,0.02631578947368421,Sequence_Complexity,1,0.5,1.1335882003352233,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,76,46,17,13,30,0.39473684210526316,0.2236842105263158,0.17105263157894737,Sequence_Complexity,6,0.46153846153846156,1.6185146083597861,0,0,0,0,4,0,3,0,0,0,0,0,6,0,0,0,0
21,76,18,27,31,58,0.7631578947368421,0.35526315789473684,0.40789473684210525,Sampling_Gaps,6,0.1935483870967742,2.689581052337451,0,0,0,6,0,0,1,0,5,5,4,6,0,0,3,0,1
22,76,34,29,13,42,0.5526315789473685,0.3815789473684211,0.17105263157894737,Indentation,4,0.3076923076923077,1.8188476060307617,0,4,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0
23,76,29,36,11,47,0.618421052631579,0.47368421052631576,0.14473684210526316,Phase_Change,4,0.36363636363636365,1.7874176593564428,0,0,1,0,0,1,0,0,2,0,4,0,0,0,1,0,2
24,76,27,27,22,49,0.6447368421052632,0.35526315789473684,0.2894736842105263,Sequence_Complexity,5,0.22727272727272727,2.279600585283878,0,5,0,0,0,4,5,0,1,2,0,0,5,0,0,0,0
