pair_id,node_a,node_b,n_features_a,n_features_b,features_a,features_b
Acceleration_Dynamics__x__Curvature_Coarse_Multiscale,Acceleration_Dynamics,Curvature_Coarse_Multiscale,19,6,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3
Acceleration_Dynamics__x__Curvature_Fine_Multiscale,Acceleration_Dynamics,Curvature_Fine_Multiscale,19,9,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5
Acceleration_Dynamics__x__Curvature_Geometry,Acceleration_Dynamics,Curvature_Geometry,19,15,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,distance_geometry_1_1;distance_geometry_2_1;distance_geometry_2_2;distance_geometry_3_1;distance_geometry_3_2;distance_geometry_3_3;distance_geometry_4_1;distance_geometry_4_2;distance_geometry_4_3;distance_geometry_4_4;distance_geometry_5_1;distance_geometry_5_2;distance_geometry_5_3;distance_geometry_5_4;distance_geometry_5_5
Acceleration_Dynamics__x__Kinematic_Evolution,Acceleration_Dynamics,Kinematic_Evolution,19,8,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,acceleration_mean_first_half;acceleration_mean_half_diff;acceleration_mean_second_half;acceleration_progress_slope;speed_mean_first_half;speed_mean_half_diff;speed_mean_second_half;speed_progress_slope
Acceleration_Dynamics__x__Observation_Temporal_Support,Acceleration_Dynamics,Observation_Temporal_Support,19,6,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,duration_total_seconds;point_count;sampling_gap_cv;sampling_gap_iqr_seconds;sampling_gap_mean_seconds;sampling_gap_sd_seconds
Acceleration_Dynamics__x__Route_Efficiency,Acceleration_Dynamics,Route_Efficiency,19,3,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,directness_ratio;net_displacement_m;path_length_m
Acceleration_Dynamics__x__Spatial_Footprint,Acceleration_Dynamics,Spatial_Footprint,19,10,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,bbox_area_km2;bbox_diagonal_m;bbox_height_m;bbox_lat_span_deg;bbox_lon_span_deg;bbox_width_m;max_distance_to_centroid_m;mean_distance_to_centroid_m;median_distance_to_centroid_m;radius_of_gyration_m
Acceleration_Dynamics__x__Spatial_Reach_and_Route,Acceleration_Dynamics,Spatial_Reach_and_Route,19,13,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,bbox_area_km2;bbox_diagonal_m;bbox_height_m;bbox_lat_span_deg;bbox_lon_span_deg;bbox_width_m;directness_ratio;max_distance_to_centroid_m;mean_distance_to_centroid_m;median_distance_to_centroid_m;net_displacement_m;path_length_m;radius_of_gyration_m
Acceleration_Dynamics__x__Spatial_Sequence_Complexity,Acceleration_Dynamics,Spatial_Sequence_Complexity,19,5,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,angle_progress_slope;relative_grid_entropy_3x3;relative_grid_revisit_ratio_3x3;relative_grid_unique_cells_3x3;relative_transition_entropy_3x3
Acceleration_Dynamics__x__Speed_Dynamics,Acceleration_Dynamics,Speed_Dynamics,19,19,acceleration_0s;acceleration_iqr;acceleration_kurt;acceleration_mad;acceleration_mean;acceleration_meanse;acceleration_quant_05;acceleration_quant_10;acceleration_quant_25;acceleration_quant_75;acceleration_quant_90;acceleration_quant_95;acceleration_quant_max;acceleration_quant_median;acceleration_quant_min;acceleration_range;acceleration_sd;acceleration_skew;acceleration_vcoef,speed_0s;speed_iqr;speed_kurt;speed_mad;speed_mean;speed_meanse;speed_quant_05;speed_quant_10;speed_quant_25;speed_quant_75;speed_quant_90;speed_quant_95;speed_quant_max;speed_quant_median;speed_quant_min;speed_range;speed_sd;speed_skew;speed_vcoef
