item_a,item_b,count_a,count_b,count_ab,support_a,support_b,support_ab,confidence_a_to_b,confidence_b_to_a,lift,jaccard
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Hybrid,1349,1360,907,0.5018601190476191,0.5059523809523809,0.33742559523809523,0.6723498888065234,0.6669117647058823,1.3288797802293637,0.5033296337402886
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Normal,1349,739,192,0.5018601190476191,0.27492559523809523,0.07142857142857142,0.14232765011119347,0.2598105548037889,0.5176951603503221,0.10126582278481013
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics,1349,295,202,0.5018601190476191,0.10974702380952381,0.07514880952380952,0.1497405485544848,0.6847457627118644,1.3644155746252715,0.14008321775312066
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,1349,294,48,0.5018601190476191,0.109375,0.017857142857142856,0.03558191252779837,0.16326530612244897,0.32532034311129937,0.030094043887147336
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Hybrid,1349,1391,920,0.5018601190476191,0.5174851190476191,0.34226190476190477,0.6819866567828021,0.6613946800862689,1.317886508578125,0.5054945054945055
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Normal,1349,731,184,0.5018601190476191,0.27194940476190477,0.06845238095238096,0.1363973313565604,0.25170998632010944,0.5015540720744657,0.0970464135021097
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Acceleration_Dynamics,1349,273,193,0.5018601190476191,0.1015625,0.07180059523809523,0.1430689399555226,0.706959706959707,1.4086787934082226,0.1350594821553534
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics,1349,293,52,0.5018601190476191,0.10900297619047619,0.019345238095238096,0.0385470719051149,0.17747440273037543,0.3536332057370268,0.03270440251572327
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Hybrid,1349,1439,978,0.5018601190476191,0.5353422619047619,0.3638392857142857,0.7249814677538917,0.6796386379430159,1.3542391836848233,0.5403314917127072
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Normal,1349,782,179,0.5018601190476191,0.29092261904761907,0.0665922619047619,0.13269088213491476,0.2289002557544757,0.45610369715939997,0.09170081967213115
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics,1349,213,141,0.5018601190476191,0.07924107142857142,0.052455357142857144,0.10452186805040771,0.6619718309859155,1.3190365320164128,0.0992258972554539
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,1349,254,51,0.5018601190476191,0.09449404761904762,0.018973214285714284,0.03780578206078577,0.20078740157480315,0.4000863865330399,0.03286082474226804
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Turning_Dynamics=Hybrid,1349,1376,917,0.5018601190476191,0.5119047619047619,0.3411458333333333,0.6797627872498146,0.6664244186046512,1.3279087006740566,0.5071902654867256
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Turning_Dynamics=Normal,1349,724,173,0.5018601190476191,0.2693452380952381,0.06436011904761904,0.12824314306893997,0.23895027624309392,0.4761292383554014,0.09105263157894737
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics,1349,290,202,0.5018601190476191,0.10788690476190477,0.07514880952380952,0.1497405485544848,0.696551724137931,1.3879399810843278,0.14057063326374392
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,1349,298,57,0.5018601190476191,0.11086309523809523,0.021205357142857144,0.04225352112676056,0.1912751677852349,0.38113243217695436,0.035849056603773584
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Spatial_Reach_and_Route=Hybrid,1349,1349,921,0.5018601190476191,0.5018601190476191,0.34263392857142855,0.6827279466271312,0.6827279466271312,1.3603949003215183,0.518289251547552
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Spatial_Reach_and_Route=Normal,1349,693,163,0.5018601190476191,0.2578125,0.06063988095238095,0.12083024462564863,0.2352092352092352,0.4686748882449401,0.08674827035657265
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry,1349,321,215,0.5018601190476191,0.11941964285714286,0.07998511904761904,0.15937731653076354,0.6697819314641744,1.3345988374912532,0.14776632302405499
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,1349,325,50,0.5018601190476191,0.1209077380952381,0.018601190476190476,0.037064492216456635,0.15384615384615385,0.3065518617779552,0.03078817733990148
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Speed_Dynamics=Hybrid,1349,1357,939,0.5018601190476191,0.5048363095238095,0.34933035714285715,0.6960711638250556,0.6919675755342668,1.3788056657050474,0.5314091680814941
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Speed_Dynamics=Normal,1349,663,159,0.5018601190476191,0.24665178571428573,0.05915178571428571,0.1178650852483321,0.2398190045248869,0.47786025512445945,0.08580679978413383
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,1349,329,206,0.5018601190476191,0.12239583333333333,0.07663690476190477,0.15270570793180133,0.6261398176291794,1.2476381243789727,0.13994565217391305
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,1349,339,45,0.5018601190476191,0.12611607142857142,0.016741071428571428,0.033358042994810974,0.13274336283185842,0.26450271259602326,0.027388922702373707
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Temporal_Sequential_Context=Hybrid,1349,1347,932,0.5018601190476191,0.5011160714285714,0.34672619047619047,0.6908821349147517,0.6919079435783222,1.3786868438387918,0.528344671201814
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Temporal_Sequential_Context=Normal,1349,708,161,0.5018601190476191,0.26339285714285715,0.059895833333333336,0.11934766493699037,0.2274011299435028,0.45311655840484477,0.084915611814346
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,1349,314,200,0.5018601190476191,0.11681547619047619,0.0744047619047619,0.14825796886582654,0.6369426751592356,1.2691637589533176,0.1367053998632946
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,1349,319,56,0.5018601190476191,0.11867559523809523,0.020833333333333332,0.04151223128243143,0.1755485893416928,0.34979585481873254,0.034739454094292806
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Turning_Dynamics=Hybrid,1349,1356,926,0.5018601190476191,0.5044642857142857,0.3444940476190476,0.6864343958487769,0.6828908554572272,1.3607195103550975,0.5205171444631815
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Curvature_Geometry__x__Turning_Dynamics=Normal,1349,699,183,0.5018601190476191,0.26004464285714285,0.06808035714285714,0.1356560415122313,0.26180257510729615,0.5216644343131297,0.09812332439678284
