pair_id,n_trajectories,n_missing,n_normal,n_hybrid,n_uncommon_total,pct_normal,pct_hybrid,pct_uncommon_total,entropy,non_normal_ratio,dominant_label,dominant_label_ratio,count__Normal,count__Hybrid,count__Uncommon_Acceleration_Dynamics,count__Uncommon_Curvature_Geometry,count__Uncommon_Spatial_Reach_and_Route,count__Uncommon_Speed_Dynamics,count__Uncommon_Temporal_Sequential_Context,count__Uncommon_Turning_Dynamics
Acceleration_Dynamics__x__Curvature_Geometry,2688,0,673,1349,666,0.25037202380952384,0.5018601190476191,0.24776785714285715,1.745873427959289,0.7496279761904762,Hybrid,0.5018601190476191,673,1349,336,330,0,0,0,0
Acceleration_Dynamics__x__Spatial_Reach_and_Route,2688,0,739,1360,589,0.27492559523809523,0.5059523809523809,0.2191220238095238,1.7085104995657074,0.7250744047619048,Hybrid,0.5059523809523809,739,1360,295,0,294,0,0,0
Acceleration_Dynamics__x__Speed_Dynamics,2688,0,731,1391,566,0.27194940476190477,0.5174851190476191,0.2105654761904762,1.6863599984944133,0.7280505952380952,Hybrid,0.5174851190476191,731,1391,273,0,0,293,0,0
Acceleration_Dynamics__x__Temporal_Sequential_Context,2688,0,782,1439,467,0.29092261904761907,0.5353422619047619,0.17373511904761904,1.612267250653808,0.7090773809523809,Hybrid,0.5353422619047619,782,1439,213,0,0,0,254,0
Acceleration_Dynamics__x__Turning_Dynamics,2688,0,724,1376,588,0.2693452380952381,0.5119047619047619,0.21875,1.7026170582250464,0.7306547619047619,Hybrid,0.5119047619047619,724,1376,290,0,0,0,0,298
Curvature_Geometry__x__Spatial_Reach_and_Route,2688,0,693,1349,646,0.2578125,0.5018601190476191,0.24032738095238096,1.7380078193609023,0.7421875,Hybrid,0.5018601190476191,693,1349,0,321,325,0,0,0
Curvature_Geometry__x__Speed_Dynamics,2688,0,663,1357,668,0.24665178571428573,0.5048363095238095,0.24851190476190477,1.7435628897541526,0.7533482142857143,Hybrid,0.5048363095238095,663,1357,0,329,0,339,0,0
Curvature_Geometry__x__Temporal_Sequential_Context,2688,0,708,1347,633,0.26339285714285715,0.5011160714285714,0.23549107142857142,1.7332345548957808,0.7366071428571429,Hybrid,0.5011160714285714,708,1347,0,314,0,0,319,0
Curvature_Geometry__x__Turning_Dynamics,2688,0,699,1356,633,0.26004464285714285,0.5044642857142857,0.23549107142857142,1.7300196633548526,0.7399553571428571,Hybrid,0.5044642857142857,699,1356,0,310,0,0,0,323
Spatial_Reach_and_Route__x__Speed_Dynamics,2688,0,749,1383,556,0.2786458333333333,0.5145089285714286,0.20684523809523808,1.683482516824522,0.7213541666666666,Hybrid,0.5145089285714286,749,1383,0,0,261,295,0,0
Spatial_Reach_and_Route__x__Temporal_Sequential_Context,2688,0,811,1448,429,0.30171130952380953,0.5386904761904762,0.15959821428571427,1.5830994165143228,0.6982886904761905,Hybrid,0.5386904761904762,811,1448,0,0,191,0,238,0
Spatial_Reach_and_Route__x__Turning_Dynamics,2688,0,697,1348,643,0.25930059523809523,0.5014880952380952,0.23921130952380953,1.7369486008586588,0.7406994047619048,Hybrid,0.5014880952380952,697,1348,0,0,311,0,0,332
Speed_Dynamics__x__Temporal_Sequential_Context,2688,0,735,1412,541,0.2734375,0.5252976190476191,0.20126488095238096,1.6661693548458472,0.7265625,Hybrid,0.5252976190476191,735,1412,0,0,0,272,269,0
Speed_Dynamics__x__Turning_Dynamics,2688,0,709,1377,602,0.26376488095238093,0.5122767857142857,0.22395833333333334,1.708900428654503,0.7362351190476191,Hybrid,0.5122767857142857,709,1377,0,0,0,301,0,301
Temporal_Sequential_Context__x__Turning_Dynamics,2688,0,714,1386,588,0.265625,0.515625,0.21875,1.6989604838110761,0.734375,Hybrid,0.515625,714,1386,0,0,0,0,284,304
