meta_pattern_id,trajectory_id,required_uncommon_counts,observed_uncommon_counts
MP00001,10,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,27,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,53,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,56,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,76,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,105,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,121,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,173,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=4;Speed_Dynamics=4
MP00001,174,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=2
MP00001,181,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,276,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,291,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,306,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,334,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,339,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,343,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,347,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=2
MP00001,369,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,408,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,421,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=4;Speed_Dynamics=4
MP00001,427,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=1
MP00001,454,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,477,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=4
MP00001,497,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,516,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,531,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,536,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=3
MP00001,539,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,636,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,640,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=1
MP00001,647,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=4;Speed_Dynamics=1
MP00001,665,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,671,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,691,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,704,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,736,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,738,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,757,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,776,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,793,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=2
MP00001,814,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,821,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,840,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=3
MP00001,870,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,911,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,936,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=3
MP00001,944,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,958,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,972,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,987,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,1006,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,1011,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=2
MP00001,1018,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,1032,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,1081,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,1125,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,1148,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=2
MP00001,1151,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,1155,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,1186,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=3
MP00001,1210,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=3
MP00001,1231,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,1276,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=3
MP00001,1277,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=3
MP00001,1307,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=4;Speed_Dynamics=3
MP00001,1331,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=3
MP00001,1334,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=1
MP00001,1353,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=3;Speed_Dynamics=3
MP00001,1378,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
MP00001,1428,Acceleration_Dynamics>=2;Speed_Dynamics>=1,Acceleration_Dynamics=2;Speed_Dynamics=2
